,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,0.005625388534353911,7.335769072011753e-05,0.0013432349531799016,0.2136633720440443,0.3019005047640826,0.2993565063424303,0.2747168269706645,0.391156462585034,0.3163265306122448,0
1,0.012070301120643659,0.00018328322054061435,0.00022488109683356435,0.15280820339238654,0.32168467849135285,0.3843252914528824,0.24904235716032205,0.36904761904761896,0.3639455782312925,1
2,0.039251046978430605,4.077536653556084e-05,3.0193708462336682e-05,0.13116403123828355,0.3385358190805642,0.4003530119720949,0.2045399428223951,0.4047619047619047,0.4115646258503401,2
3,0.016102950336209346,0.00014900154617060438,8.471827534956576e-05,0.14058985514943145,0.3265170558509525,0.3184711458588626,0.23877256923618506,0.3741496598639456,0.38775510204081626,3
4,0.04631188546009889,2.2256669312337987e-05,2.2256669312337987e-05,0.13890533613314393,0.3581121608938207,0.36987208323084003,0.1976934175396371,0.4183673469387754,0.4183673469387754,4
5,0.14972768859808006,7.506251404743546e-07,7.884476138769568e-05,0.0908390108085556,0.4182367655483348,0.3642306618841651,0.14292121527757315,0.488095238095238,0.3894557823129251,5
6,0.02783836254488666,5.092890614918794e-05,2.2256669312337987e-05,0.1401968153830131,0.3280593118300389,0.3724201024782806,0.21823299338791108,0.3996598639455782,0.4183673469387754,6
7,0.0012179525541432294,0.001513411499636998,0.0002942264463117645,0.20292182997396116,0.2660451695299369,0.3607551492457598,0.3209308726292809,0.3129251700680272,0.3571428571428571,7
8,0.030383562058393987,5.898289676856399e-05,0.0004969155988576264,0.10511550613341493,0.3088508637837556,0.2974292159105094,0.21480973074653206,0.3962585034013605,0.3435374149659864,8
9,0.1225877167367062,9.39732252074424e-06,1.1020498303622369e-05,0.05915668993288625,0.3448225507740782,0.398605151535184,0.1531910032017101,0.4370748299319727,0.4336734693877551,9
