,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0035462344382251702,0.003348598470997925,0.02832586299618195,0.15008443303353625,0.15140598728417656,0.12425870359682578,0.2543050729690553,0.2554204124801692,0.1909042834479112
1,1.4995616775657784e-06,0.0003983271103723013,0.0220254425122031,0.3567084194205001,0.16771002832652382,0.11803698527978235,0.4196033703989413,0.30830248545743,0.1993654151242729
2,4.56737092455669e-08,1.9540330838380826e-05,0.009837633533389477,0.3427775934959506,0.284184981059475,0.1441349574885996,0.4768220118169787,0.3717609730301428,0.22474881015335804
3,0.0015187320603252885,0.0021592153130670323,0.07512409412492457,0.1870960896423095,0.15180317806954235,0.10098125522498624,0.2765567668538476,0.2670544685351666,0.1549444738233739
4,0.0017207040404583983,0.02746169595364833,0.043107260896887455,0.16447867721322962,0.1072406249405401,0.10743238734528282,0.27337795344173443,0.1919619249074564,0.17609730301427814
5,0.0011294269148914547,0.000196548284700787,0.20426881688329745,0.22066293672151185,0.23566548135737786,0.11688538733212027,0.28397399814877844,0.32416710735060816,0.1105235325224749
6,0.0017207040404583983,0.00041706769524213597,0.03505639518827295,0.15549193442049747,0.20531405519603108,0.11913402673427688,0.27337795344173443,0.3072448439978848,0.18350079323109467
7,1.1744919661052775e-06,0.00023801764403355132,0.02500430717897797,0.3122045647714116,0.15613514089057556,0.12808143222912616,0.4238417882817588,0.3199365415124273,0.19513484928609204
8,1.028682330961084e-07,0.0006268837649032034,0.0006852546912333613,0.3318819127973195,0.1896710401664168,0.20204329443096455,0.4641067581685259,0.29772607086197783,0.2956107879428874
9,9.756414947233093e-06,0.0008920740116992094,0.012544419627816052,0.2555430946103141,0.1806583304634388,0.1687783163846669,0.3856960273364005,0.2892649391856161,0.21734531993654152
