,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0015474403949198444,0.00021011894086679972,0.0008770559294260229,0.20050767350511167,0.22759520695832006,0.3557007336598166,0.314084347346523,0.3656462585034013,0.3282312925170067
1,0.01395855950886102,0.00015969472525429604,7.884476138769568e-05,0.13029430671844988,0.2622562043848691,0.38434172119158816,0.2439074631982536,0.3724489795918367,0.3894557823129251
2,0.020323753001819586,9.39732252074424e-06,0.0011208270047992897,0.18984905854208836,0.3645483639596664,0.4046403464670767,0.23021441263273754,0.4370748299319727,0.3214285714285714
3,0.0006161407097634129,2.060806710111531e-05,1.3965866928889611e-05,0.20727727804495688,0.3235790066139393,0.38440388712770057,0.33975881715686546,0.4200680272108843,0.4285714285714285
4,0.009422292258384896,3.5107821223582925e-05,5.786784198323525e-06,0.14030853380481667,0.3388895458687237,0.4233109723268816,0.2576005137637695,0.4081632653061224,0.4472789115646258
5,0.13563407318240553,1.2060331583375326e-07,1.907615046366195e-05,0.06878053983830512,0.4085301925070871,0.44045579934274015,0.1480561092396416,0.5221088435374149,0.4217687074829932
6,0.010940761899036916,1.953760357951544e-06,5.332226057750254e-06,0.1784783642476333,0.364232107216373,0.4221665820682563,0.252465619801701,0.4693877551020407,0.4489795918367345
7,0.0021976949185896454,0.000257372227056324,0.00022488109683356435,0.17599942665803506,0.3251558387870225,0.3903862686301017,0.303814559422386,0.3605442176870748,0.3639455782312925
8,0.0012179525541432294,3.256280918983371e-05,0.00022488109683356435,0.18864061616599012,0.2893021578952469,0.335972648461769,0.3209308726292809,0.4098639455782313,0.3639455782312925
9,0.13563407318240553,4.7304095434108695e-05,3.256280918983371e-05,0.03998135885745302,0.3041491401185521,0.3802438259016515,0.1480561092396416,0.401360544217687,0.4098639455782313
