,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,3.7750020454438384e-25,1.0671092213516961e-19,1.2968535569961117e-15,0.5326119524498054,0.5066016581946837,0.3482708267899627,0.5313993422990395,0.4649818523995161,0.4093292109154456
1,2.6168728164401607e-23,4.256016886350911e-22,7.761120734176285e-16,0.547924031677115,0.5443994628568067,0.3752228419870496,0.5102036143120817,0.494824573195322,0.41255545100147867
2,1.1206737625659334e-25,4.0183749379874215e-17,1.3610570501025774e-17,0.5423276955184261,0.4586035685573344,0.3432922840039647,0.5373254786724163,0.4307030514854148,0.4371555316574809
3,8.764111658670289e-22,1.8553769615976588e-19,5.499657312139088e-16,0.5296086179757106,0.5304368647710047,0.3607108624849211,0.4919366614490538,0.4618900389837344,0.4147062777255007
4,1.2828290345859655e-21,5.790799986139646e-23,1.9384688838985512e-20,0.5314432077988239,0.5439112424730779,0.4489969489592125,0.4899163876854027,0.5051754268046781,0.4743917193171126
5,1.1888579004456422e-21,4.0432004054475835e-22,1.9936559075579152e-19,0.4793014075944279,0.4813605889369581,0.4032534198419846,0.4903204424381329,0.4950934265358247,0.4614867589729802
6,5.931779868512601e-25,5.082872182805141e-21,2.792988219759845e-18,0.548573112035718,0.5261136383461871,0.404408178303575,0.5291948259324628,0.4816507595106869,0.446430971904826
7,8.478479736539332e-24,2.5450077456817937e-22,9.543535325568212e-19,0.5320535202562857,0.5323549419483232,0.3748002628622231,0.5159105767777141,0.4975131066003495,0.4526145987363893
8,1.881069489773509e-23,5.0801890855114974e-23,8.287399977711193e-19,0.5336408534350187,0.5187611918937509,0.3909436456190543,0.5118700292504118,0.505847560155935,0.4534211587578976
9,4.286111236506378e-22,3.7435697429470707e-22,4.567170597717034e-20,0.5254434467806239,0.5188004868766369,0.4268414467942365,0.4957078391412026,0.4954967065465789,0.4696867858583144
