,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,0.0001691952256050292,0.00043662917535992234,0.007664061217289074,0.41162316719850656,0.4970192750677554,0.246190711789802,0.32855853114161565,0.30618720253833953,0.2321523003701745,0
1,0.00018641015488594042,1.8503152881191165e-05,0.005505669316548916,0.4856182297942962,0.5063733897635676,0.2406004500167799,0.3264353742360156,0.3728186144896881,0.2416710735060815,1
2,0.00022589302981754049,6.259195092036452e-05,0.012980660156165804,0.3689546438289301,0.4615030350187236,0.2364386573752768,0.3221890604248154,0.3484928609201481,0.21628767847699631,2
3,0.00018641015488594042,2.4269612667714715e-05,0.010552204001377607,0.451988303390717,0.4825273518301487,0.1937277264609704,0.3264353742360156,0.367530407191962,0.2226335272342676,3
4,0.0012015105722657695,0.00023801764403355132,0.004224502422919469,0.4404456644856517,0.4881457376431701,0.2188961788224586,0.2829106576712135,0.3199365415124273,0.24907456372289796,4
5,0.0034715782406603327,5.945384581368384e-05,0.006386216957179845,0.4489375417464552,0.4642203009501845,0.26442614497318195,0.25530961789841217,0.3495505023796933,0.23744050766790065,5
6,0.00036160611978498856,5.090935359404269e-05,0.02500430717897797,0.4352078952036704,0.4562521410221682,0.21035514969017896,0.3115732758968149,0.35272342675832896,0.19513484928609204,6
7,0.04304054771526058,2.7024658946346047e-05,0.005505669316548916,0.3721044955570981,0.5222302620081545,0.2402063186707556,0.17675281239120846,0.3654151242728715,0.2416710735060815,7
8,0.016393735305126906,0.0029758074404713122,0.010552204001377607,0.3568582676235096,0.4618671379790607,0.21123944326229796,0.20966174442801006,0.2585933368588049,0.2226335272342676,8
9,0.0006825407408166217,0.00027436374867635297,0.004736212845579131,0.3871465688028828,0.4841014622546026,0.3629643915197034,0.29671117755761417,0.3167636171337917,0.2459016393442623,9
