,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,0.008824826831541692,8.497027170160317e-05,0.0497708189332417,0.32397251292501306,0.4327190338594245,0.2495168689248325,0.2287701565784109,0.34214701216287685,0.1708090957165521,0
1,0.3588912929753449,8.989461648011175e-06,0.051202316210360733,0.2856456245447189,0.4104995896807996,0.13279398970561418,0.08014917318640383,0.38656795346377576,0.16975145425700688,1
2,0.0996397243708483,0.007664061217289074,0.3527157544124043,0.20395177526511488,0.3042397195618167,0.1626075405466706,0.14384388035440687,0.2321523003701745,0.0809095716552089,2
3,0.00016115957301250156,0.01343026679595345,0.060532997455750324,0.2639424080779333,0.32378676210363433,0.1966579136980352,0.3296201095944157,0.2152300370174511,0.1634056054997356,3
4,0.2931886420277896,0.1999720301936745,0.060532997455750324,0.24497679019394905,0.26399979175217103,0.1910208574262502,0.0918265361672044,0.11158117398202012,0.1634056054997356,4
5,0.0021521368451786673,0.0003983271103723013,0.05266812461391215,0.3201863769467904,0.3545806763050885,0.09066990188678092,0.2680485593320128,0.30830248545743,0.16869381279746168,5
6,0.3588912929753449,0.030124678025085425,0.4697931005256184,0.2856916100584537,0.3520090995766174,0.1330592111442611,0.08014917318640383,0.18878900052882075,0.06292966684294024,6
7,0.0034715782406603327,0.09484568890775397,0.11567548243092073,0.33983379412024617,0.3207078345162939,0.14943551026147162,0.25530961789841217,0.14542570068746696,0.13696456901110526,7
8,0.0002863041469712998,0.007127701883759829,0.4122155138155018,0.27699736243585604,0.36739794745627774,0.13105716931352662,0.31688116816081513,0.23426758328926495,0.07139079851930198,8
9,0.4548516758615645,0.06570267080095522,0.051202316210360733,0.2292899453955287,0.3646006725468083,0.1833264638955151,0.06528707484720311,0.16023268112109995,0.16975145425700688,9
