,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,0.027018437764197243,0.032020800203324117,0.007127701883759829,0.10804515044336037,0.08767944845274832,0.16598117726275285,0.19284801366820026,0.18667371760973034,0.23426758328926495,0
1,1.6361945761626382e-07,0.0006852546912333613,0.02832586299618195,0.35957098208990224,0.16091904043470562,0.13008165601118782,0.4566895268735952,0.2956107879428874,0.1909042834479112,1
2,2.1541685196965697e-06,0.0006268837649032034,0.000457044495427033,0.33029311380143944,0.21533233905919635,0.21111572415892155,0.4132457435747148,0.29772607086197783,0.3051295610787943,2
3,9.616720147900248e-05,0.001990087533206045,0.26113813937746155,0.2476657232467796,0.13681435402284406,0.058901474594171825,0.3401330350961115,0.26916975145425703,0.09783183500793233,3
4,0.0007641173575056225,0.0029758074404713122,0.021330830445105118,0.18500466218889167,0.1351717705584118,0.12739743505138654,0.293510438385118,0.2585933368588049,0.20042305658381807,4
5,0.0003542364892412501,0.00027436374867635297,0.012980660156165804,0.24604461894356955,0.21885927268463712,0.16659007145533744,0.31152371438709275,0.3167636171337917,0.21628767847699631,5
6,8.695930500608268e-05,0.007127701883759829,0.02746169595364833,0.22379621528465388,0.1189925551650467,0.12909371627451385,0.34225224403752025,0.23426758328926495,0.1919619249074564,6
7,7.098421269900809e-05,0.0007162985692054616,0.0013126975605401493,0.22800981472093584,0.1655633298835757,0.18164094177301315,0.34649066192033784,0.2945531464833422,0.27974616604970914,7
8,3.3450955446687696e-07,0.002341428559656852,0.005931232574471046,0.33639722671007694,0.16071495345328168,0.1572530752322141,0.4450338776958467,0.2649391856160762,0.23955579058699106,8
9,3.809177052452383e-05,0.00011476747989451704,0.019360212365979068,0.22660202817635625,0.22228934710403286,0.1693238056102142,0.3592059155687906,0.3358011634056056,0.20359598096245374,9
