,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.00013247054741999788,8.936719146077288e-05,0.0028602220933594148,0.4281556031184833,0.4951311134480464,0.26255424222825297,0.33386642340561595,0.3410893707033316,0.2596509783183501
1,0.0001691952256050292,8.936719146077288e-05,0.010189343366381486,0.4219406327902485,0.5018500930539107,0.19459497704829565,0.32855853114161565,0.3410893707033316,0.2236911686938128
2,0.00037873512695027657,3.3733195915374475e-06,0.013893580696605252,0.4284304730326857,0.5127191049701584,0.25393932001646136,0.3105116974440148,0.4045478582760445,0.2141723955579059
3,0.022696248446546736,0.00014687108894977392,0.006154939826796157,0.3758930753275879,0.39771723824065097,0.16396227299318955,0.19904595990000948,0.33051295610787945,0.23849814912744585
4,0.0005216023517192554,3.527206357468129e-05,0.004559724058980408,0.4083224705089087,0.4498142685200259,0.2342198816409796,0.3030806482744145,0.3601269169751455,0.2469592808038075
5,0.003609480518102745,0.0001331287941582677,0.026620368428923985,0.34837846072940826,0.4172744363521047,0.15933015788459848,0.2542480394456121,0.3326282390269699,0.19301956636700165
6,0.018701828143308744,6.588642143475069e-05,0.007945576857488396,0.3914212149786471,0.4531464654688653,0.2600246339578952,0.2054154306168098,0.3474352194606029,0.2310946589106293
7,0.13658585359978687,2.178312121972452e-05,0.008236318014360814,0.3517367337886206,0.5070666356328354,0.26141142586652577,0.1300433604680062,0.3696456901110524,0.2300370174510841
8,0.00697984192341155,0.021330830445105118,0.015369272070878244,0.36722067562100624,0.4162707595733629,0.20556675240636255,0.2357327549479156,0.20042305658381807,0.21099947117927026
9,0.007644633465685452,0.00030141754747406516,0.030124678025085425,0.33822690041267034,0.4468554537449133,0.18419458712818504,0.2330164703896111,0.3146483342147013,0.18878900052882075
