,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,2.940600069886214e-12,3.979171804970468e-14,1.0343438509494398e-14,0.25308592578356115,0.3193711972548953,0.2989477853422128,0.35805985337777124,0.3871488103239683,0.3960209705605592
1,9.685488231377156e-15,6.661207468447994e-13,6.584884285989313e-11,0.2566828865798867,0.3184438078314028,0.2460509717346553,0.39719917069860855,0.3679257964780213,0.3343191289151768
2,1.2594271554856413e-12,1.1491490018409316e-13,2.4472352307230604e-10,0.24020664228909194,0.3198753786514418,0.18809121770498427,0.3641206746687247,0.3800241968006453,0.32410270197607205
3,1.0318830935361824e-11,5.601546775330823e-13,4.275264671942517e-10,0.21276282702157268,0.29012417253306155,0.2367135797703902,0.34890127898255274,0.3691356365102837,0.31966662185777656
4,4.3856699800578004e-14,1.2197570758335202e-14,3.7448041512115605e-11,0.2427092209613936,0.2911740460497979,0.2331590975609805,0.3872321518340114,0.3949455571985481,0.3386207823632209
5,8.684078760201803e-13,1.4023662718606966e-12,5.622273140502728e-11,0.2474132956966195,0.30908251539053266,0.2432054763475872,0.3667593563283523,0.3626831563382175,0.3355289689474392
6,3.917766156215959e-15,1.7401370768018942e-13,2.971608336577428e-11,0.24829097931598546,0.3211364819190925,0.2247599820027043,0.40304461584840345,0.3772012367253663,0.3403683290764888
7,3.544948454610466e-18,2.564319029043619e-17,2.8148538168218984e-12,0.2670650191736705,0.3001054884498151,0.1642774991438516,0.4458744196378077,0.4333915848904423,0.3577093695389165
8,2.1526939168275103e-13,1.0544874538030326e-12,3.8649857904116857e-10,0.22782439540428426,0.29532301291821805,0.19969619983103806,0.3764569963047171,0.3646995563919882,0.3204731818792849
9,8.666919835366734e-14,6.607602365620232e-12,1.5539196677916034e-08,0.21988335914052226,0.2762414318630729,0.2073497059383216,0.38272989736333535,0.35152574270735315,0.28955504772146795
