,$R^2$,$\kappa$,$P-value$
0,0.047956945096176096,0.048531329489967426,0.0
1,0.047956945096176096,0.048531329489967426,0.0
2,0.047956945096176096,0.048531329489967426,0.0
3,0.047956945096176096,0.048531329489967426,0.0
4,0.047956945096176096,0.048531329489967426,0.0
5,0.047956945096176096,0.048531329489967426,0.0
6,0.047956945096176096,0.048531329489967426,0.0
7,0.047956945096176096,0.048531329489967426,0.0
8,0.047956945096176096,0.048531329489967426,0.0
9,0.047956945096176096,0.048531329489967426,0.0
