,$R^2$,$\kappa$,$P-value$
0,0.5898864034136508,0.562127442086309,3.705709591964499e-07
1,0.47820928412849295,0.562127442086309,3.705709591964499e-07
2,0.41863956481963094,0.562127442086309,3.705709591964499e-07
3,0.4367702595583771,0.562127442086309,3.705709591964499e-07
4,0.527292579219669,0.562127442086309,3.705709591964499e-07
5,0.6646664247186465,0.562127442086309,3.705709591964499e-07
6,0.5414264831973056,0.562127442086309,3.705709591964499e-07
7,0.43620880978818855,0.562127442086309,3.705709591964499e-07
8,0.5430189943787174,0.562127442086309,3.705709591964499e-07
9,0.4498702950074791,0.562127442086309,3.705709591964499e-07
