,$R^2$,$\kappa$,$P-value$
0,0.6251081797119774,0.6101442295982016,6.379596512398268e-08
1,0.5422628643855592,0.5586552650751467,7.36567790346748e-07
2,0.6286071740614616,0.5612297133012993,6.548956162091885e-07
3,0.5869777190335441,0.5689530579797576,4.5892105024967644e-07
4,0.5544746663473061,0.5946975402412851,1.3574561900313947e-07
5,0.49352542193746685,0.5303363345874664,2.59564274870037e-06
6,0.623663524703861,0.6230164707289654,3.3533322333911886e-08
7,0.6846673038407831,0.6281653671812709,2.58351645687367e-08
8,0.5907170188140827,0.535485231039772,2.0737116815816042e-06
9,0.6547957112698861,0.607569781372049,7.244317153607198e-08
