,$R^2$,$\kappa$,$P-value$
0,-0.08227068806372118,-0.2050498830661811,0.1177666634425026
1,-0.07782429088272225,-0.2050498830661811,0.1177666634425026
2,-0.07239874358627785,-0.2050498830661811,0.1177666634425026
3,-0.06740279694055262,-0.2050498830661811,0.1177666634425026
4,-0.07748,-0.15672891720538396,0.25898366217404745
5,-0.1103089706557554,-0.2050498830661811,0.1177666634425026
6,-0.08110386148063453,-0.2050498830661811,0.1177666634425026
7,-0.06955059886628101,-0.2050498830661811,0.1177666634425026
8,-0.06638349031446311,-0.2050498830661811,0.1177666634425026
9,-0.0677154529719548,-0.2050498830661811,0.1177666634425026
