"Otu000001" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000023" "Otu000050" "Otu000071" "Otu000075" "Otu000077" "Otu000093" "Otu000227" "Otu000267" "Otu000304" "Otu000377" "Otu000387" "Otu000663" "Otu000763" "Otu000931" "Otu001021" "Otu001130" "Otu001148" "Otu001194" "Otu001269" "Otu001311" "Otu001526" "Otu001556" "Otu001693" "Otu001700" "Otu001784" "Otu002251" "Otu002674" "Otu005522" "Otu005973" "Otu007916" "Otu008727"
"Z14023F" 0.102286902286902 0.0122661122661123 0.231288981288981 0.253742203742204 0.0672557172557173 0.00124740124740125 0.0116424116424116 0.0546777546777547 0.008004158004158 0.000103950103950104 0.0391891891891892 0 0.0051975051975052 0.154989604989605 0.0116424116424116 0.00810810810810811 0.00841995841995842 0.00135135135135135 0 0.00207900207900208 0 0.000831600831600832 0.00446985446985447 0.00051975051975052 0.00602910602910603 0.00748440748440748 0 0.00332640332640333 0 0.00114345114345114 0.00207900207900208 0 0 0.000311850311850312 0 0.000311850311850312
"Z14024F" 0.115904365904366 0.0217255717255717 0.194802494802495 0.2504158004158 0.185550935550936 0.019022869022869 0.0661122661122661 0.000207900207900208 0.00187110187110187 0.12006237006237 0.0174636174636175 0.00103950103950104 0.000935550935550936 0.000311850311850312 0.00207900207900208 0.00124740124740125 0.000311850311850312 0.000311850311850312 0 0 0 0 0 0 0 0 0.000311850311850312 0 0 0.000311850311850312 0 0 0 0 0 0
"Z14025F" 0.224220374220374 0.0482328482328482 0.198856548856549 0.382744282744283 0.0541580041580042 0.00582120582120582 0.0405405405405405 0 0.00051975051975052 0.0143451143451143 0.0196465696465696 0 0.00145530145530146 0.00051975051975052 0.00675675675675676 0 0.000311850311850312 0.00051975051975052 0 0 0.000207900207900208 0 0.000103950103950104 0 0 0.00051975051975052 0.000103950103950104 0 0 0.000415800415800416 0 0 0 0 0 0
"Z14026F" 0.226715176715177 0.0435550935550936 0.17047817047817 0.403742203742204 0.0799376299376299 0.00218295218295218 0.0333679833679834 0 0.00051975051975052 0.0106029106029106 0.014968814968815 0 0.00103950103950104 0.000207900207900208 0.0108108108108108 0.000207900207900208 0 0.000207900207900208 0 0.000103950103950104 0 0 0.000207900207900208 0 0 0.000415800415800416 0 0 0 0.000727650727650728 0 0 0 0 0 0
"Z14027F" 0.13024948024948 0.00155925155925156 0.342307692307692 0.248336798336798 0.251143451143451 0.00051975051975052 0.00207900207900208 0.00145530145530146 0.00322245322245322 0.000831600831600832 0.00665280665280665 0 0.000207900207900208 0.000103950103950104 0.000935550935550936 0.00124740124740125 0.00218295218295218 0 0 0.000623700623700624 0 0 0 0.00051975051975052 0.00405405405405405 0.00124740124740125 0.000311850311850312 0.000207900207900208 0 0 0 0 0 0 0 0
"Z14028F" 0.214137214137214 0.056029106029106 0.242931392931393 0.297401247401247 0.117463617463617 0.0118503118503119 0.0318087318087318 0 0.00249480249480249 0.0053014553014553 0.00935550935550936 0 0.000415800415800416 0 0.00945945945945946 0 0.000207900207900208 0.000727650727650728 0 0 0 0 0.000103950103950104 0 0 0.000207900207900208 0 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14029F" 0.127858627858628 0.0515592515592516 0.324116424116424 0.257692307692308 0.157484407484408 0.00977130977130977 0.0392931392931393 0.00187110187110187 0.00457380457380457 0.0053014553014553 0.0133056133056133 0.000831600831600832 0 0 0.00103950103950104 0.000415800415800416 0.000831600831600832 0.00343035343035343 0.000311850311850312 0 0 0 0 0 0 0 0.000207900207900208 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14030F" 0.140748440748441 0.144074844074844 0.24012474012474 0.282224532224532 0.110810810810811 0.00467775467775468 0.0325363825363825 0.000935550935550936 0.00498960498960499 0.00291060291060291 0.0153846153846154 0.00187110187110187 0.000103950103950104 0 0.000103950103950104 0 0.000727650727650728 0.0175675675675676 0.000103950103950104 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0
"Z14031F" 0.0728690228690229 0.00176715176715177 0.406756756756757 0.334927234927235 0.102182952182952 0.00686070686070686 0.0116424116424116 0.00415800415800416 0.00478170478170478 0.00322245322245322 0.00769230769230769 0.00197505197505198 0.0051975051975052 0.00291060291060291 0.00405405405405405 0.00332640332640333 0.00758835758835759 0.000311850311850312 0 0.00166320166320166 0 0 0 0.000415800415800416 0.00706860706860707 0.00311850311850312 0.000727650727650728 0.00124740124740125 0.000103950103950104 0.00197505197505198 0 0 0.000415800415800416 0 0.00103950103950104 0
"Z14032F" 0.153014553014553 0.0893970893970894 0.289293139293139 0.297297297297297 0.082016632016632 0.00291060291060291 0.0378378378378378 0.000207900207900208 0.00582120582120582 0.00717255717255717 0.0138253638253638 0.00187110187110187 0.000727650727650728 0.000415800415800416 0.00051975051975052 0 0.00051975051975052 0.0165280665280665 0.000311850311850312 0 0 0 0.000103950103950104 0 0 0.000103950103950104 0.000103950103950104 0 0 0 0 0 0 0 0 0
"Z14033F" 0.161018711018711 0.192619542619543 0.145322245322245 0.356964656964657 0.0753638253638254 0.00582120582120582 0.0429313929313929 0.000103950103950104 0.000207900207900208 0.00852390852390852 0.00602910602910603 0.000103950103950104 0.00176715176715177 0.000415800415800416 0.00135135135135135 0 0.000103950103950104 0.000103950103950104 0 0 0 0 0.000415800415800416 0 0 0.000103950103950104 0.00051975051975052 0 0 0.000207900207900208 0 0 0 0 0 0
"Z14034F" 0.125363825363825 0.178066528066528 0.16954261954262 0.32962577962578 0.105717255717256 0.00727650727650728 0.0618503118503119 0 0 0.0132016632016632 0.00644490644490645 0.000103950103950104 0.000727650727650728 0.000207900207900208 0.00114345114345114 0.00051975051975052 0 0 0 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14035F" 0.156548856548857 0.119438669438669 0.143659043659044 0.413617463617464 0.0674636174636175 0.0242203742203742 0.0385654885654886 0.000103950103950104 0.00748440748440748 0.0125779625779626 0.00738045738045738 0.000103950103950104 0.000415800415800416 0.000207900207900208 0.0027027027027027 0 0 0.00395010395010395 0.000311850311850312 0.000623700623700624 0 0 0 0 0 0.000207900207900208 0 0 0 0.000415800415800416 0 0 0 0 0 0
"Z14036F" 0.102182952182952 0.196361746361746 0.195841995841996 0.286278586278586 0.10956340956341 0.008004158004158 0.0719334719334719 0.000207900207900208 0.000207900207900208 0.0114345114345114 0.0135135135135135 0.000103950103950104 0.00114345114345114 0.000207900207900208 0.00103950103950104 0.000831600831600832 0 0.000103950103950104 0 0 0.000207900207900208 0 0.000103950103950104 0 0 0.000103950103950104 0 0 0 0.000623700623700624 0 0 0 0 0 0
"Z14037F" 0.165072765072765 0.165696465696466 0.114760914760915 0.288357588357588 0.145114345114345 0.0113305613305613 0.0626819126819127 0.000207900207900208 0.00187110187110187 0.0161122661122661 0.0235966735966736 0.00176715176715177 0.00103950103950104 0.000103950103950104 0.000103950103950104 0.000415800415800416 0.000103950103950104 0.000103950103950104 0.000727650727650728 0.000207900207900208 0 0 0 0 0 0.000415800415800416 0.000103950103950104 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14038F" 0.164449064449064 0.171309771309771 0.121101871101871 0.291060291060291 0.154054054054054 0.00821205821205821 0.0506237006237006 0.000311850311850312 0.00114345114345114 0.0106029106029106 0.0216216216216216 0.00135135135135135 0.000623700623700624 0 0.000935550935550936 0.000727650727650728 0.000207900207900208 0.00051975051975052 0.000311850311850312 0 0 0 0.000415800415800416 0 0 0.000311850311850312 0 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14039F" 0.205093555093555 0.0364864864864865 0.238149688149688 0.194074844074844 0.233991683991684 0.0330561330561331 0.0194386694386694 0.000103950103950104 0.0117463617463617 0.00155925155925156 0.0124740124740125 0.000103950103950104 0.00686070686070686 0.000623700623700624 0.000311850311850312 0.000103950103950104 0.000103950103950104 0 0 0 0 0 0.000103950103950104 0 0.000103950103950104 0.00291060291060291 0 0.000103950103950104 0 0.00249480249480249 0 0 0 0 0 0
"Z14040F" 0.152494802494803 0.157692307692308 0.140540540540541 0.281185031185031 0.156133056133056 0.0122661122661123 0.0596673596673597 0 0.00187110187110187 0.0121621621621622 0.0197505197505198 0.00114345114345114 0.00114345114345114 0.000207900207900208 0.000623700623700624 0.00114345114345114 0.000207900207900208 0.000207900207900208 0.000415800415800416 0 0 0 0 0 0.000103950103950104 0 0.000623700623700624 0 0 0.000415800415800416 0 0 0 0 0 0
"Z14041F" 0.177234927234927 0.093970893970894 0.125987525987526 0.26975051975052 0.153014553014553 0.00176715176715177 0.144490644490644 0.000311850311850312 0.00374220374220374 0.00550935550935551 0.0203742203742204 0.000103950103950104 0.000935550935550936 0.000103950103950104 0.000207900207900208 0.000623700623700624 0.000727650727650728 0 0.000207900207900208 0 0 0 0.000311850311850312 0 0 0.000415800415800416 0.000103950103950104 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14042F" 0.121829521829522 0.101975051975052 0.132952182952183 0.312266112266112 0.171413721413721 0.00114345114345114 0.133575883575884 0 0.00218295218295218 0.00498960498960499 0.0127858627858628 0.000311850311850312 0.00114345114345114 0.000103950103950104 0.000623700623700624 0.000727650727650728 0.000623700623700624 0.00051975051975052 0.000207900207900208 0 0 0 0.000207900207900208 0 0.000103950103950104 0 0.000207900207900208 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14043F" 0.172141372141372 0.0233887733887734 0.324220374220374 0.226091476091476 0.156340956340956 0.00748440748440748 0.0164241164241164 0.000103950103950104 0.0155925155925156 0.000727650727650728 0.0223492723492724 0.00176715176715177 0.0103950103950104 0.00135135135135135 0.00343035343035343 0.000207900207900208 0.00717255717255717 0 0 0 0 0 0.000103950103950104 0 0.000623700623700624 0.00176715176715177 0.000935550935550936 0 0 0.00426195426195426 0.00301455301455301 0.000103950103950104 0 0 0 0
"Z14044F" 0.14002079002079 0.0882536382536383 0.141787941787942 0.338357588357588 0.153638253638254 0.00176715176715177 0.112681912681913 0.000103950103950104 0.00207900207900208 0.00602910602910603 0.0115384615384615 0 0.000831600831600832 0.000103950103950104 0.000103950103950104 0.00051975051975052 0.000831600831600832 0.000727650727650728 0.000311850311850312 0 0 0 0 0 0 0 0.000207900207900208 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14045F" 0.229209979209979 0.00145530145530146 0.173284823284823 0.304885654885655 0.0758835758835759 0.00395010395010395 0.0634095634095634 0 0.00467775467775468 0.126195426195426 0.0122661122661123 0.00135135135135135 0.000831600831600832 0.000103950103950104 0.000207900207900208 0.00114345114345114 0 0.000103950103950104 0 0 0 0 0 0 0 0.00051975051975052 0 0 0 0.00051975051975052 0 0 0 0 0 0
"Z14046F" 0.162577962577963 0.00166320166320166 0.162993762993763 0.366424116424116 0.0686070686070686 0.00415800415800416 0.0586278586278586 0 0.00343035343035343 0.14968814968815 0.0172557172557173 0.00124740124740125 0.000831600831600832 0 0.000207900207900208 0.00145530145530146 0 0.000311850311850312 0 0 0 0 0.000311850311850312 0 0 0.000103950103950104 0 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14047F" 0.145114345114345 0.00446985446985447 0.329002079002079 0.324740124740125 0.13035343035343 0.00353430353430353 0.00571725571725572 0.00686070686070686 0.00997920997920998 0.00384615384615385 0.00935550935550936 0.00051975051975052 0.00436590436590437 0.00332640332640333 0.000623700623700624 0.00166320166320166 0.00415800415800416 0 0 0.0025987525987526 0 0 0.00176715176715177 0.000831600831600832 0.00332640332640333 0.00114345114345114 0.000415800415800416 0.000727650727650728 0 0.00124740124740125 0.000311850311850312 0 0 0 0 0
"Z14048F" 0.29012474012474 0.000415800415800416 0.195010395010395 0.28981288981289 0.0908523908523909 0.00384615384615385 0.0432432432432432 0 0.00467775467775468 0.0624740124740125 0.0155925155925156 0.00103950103950104 0.000207900207900208 0 0 0.00135135135135135 0 0 0 0.000311850311850312 0 0 0 0 0 0.00103950103950104 0 0 0 0 0 0 0 0 0 0
"Z14050F" 0.166943866943867 0.0158004158004158 0.213305613305613 0.221725571725572 0.257068607068607 0.0398128898128898 0.043970893970894 0.0051975051975052 0.00145530145530146 0.0216216216216216 0.00810810810810811 0.00051975051975052 0.000623700623700624 0.00051975051975052 0.00051975051975052 0.000207900207900208 0.000727650727650728 0.000415800415800416 0.000831600831600832 0 0 0 0.000103950103950104 0 0 0 0 0 0 0.00051975051975052 0 0 0 0 0 0
"Z14053F" 0.314864864864865 0.061018711018711 0.119230769230769 0.311434511434511 0.109147609147609 0.00727650727650728 0.0326403326403326 0 0.00488565488565489 0.0169438669438669 0.0103950103950104 0 0.00155925155925156 0.00103950103950104 0.00748440748440748 0.000207900207900208 0 0 0 0 0 0 0 0 0 0.00103950103950104 0 0.000103950103950104 0 0.000727650727650728 0 0 0 0 0 0
"Z14055F" 0.0483367983367983 0.0551975051975052 0.177858627858628 0.209043659043659 0.0700623700623701 0.000831600831600832 0.0884615384615385 0.0470893970893971 0.0212058212058212 0 0.0346153846153846 0.000311850311850312 0.00582120582120582 0.184927234927235 0.00873180873180873 0.00706860706860707 0.00665280665280665 0 0 0.00051975051975052 0 0.00613305613305613 0.0027027027027027 0.000935550935550936 0.00197505197505198 0.0130977130977131 0.000623700623700624 0.00228690228690229 0 0.00103950103950104 0.00343035343035343 0.000311850311850312 0.000311850311850312 0.000207900207900208 0 0.000207900207900208
"Z14057F" 0.16954261954262 0.10987525987526 0.176195426195426 0.27962577962578 0.165696465696466 0.00613305613305613 0.0452182952182952 0.0146569646569647 0.0025987525987526 0.00332640332640333 0.0195426195426195 0.00103950103950104 0.00280665280665281 0 0.00155925155925156 0 0.00103950103950104 0.000103950103950104 0.00051975051975052 0 0 0 0 0 0 0 0.000415800415800416 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14059F" 0.118814968814969 0.116008316008316 0.0811850311850312 0.425675675675676 0.161642411642412 0.0025987525987526 0.0484407484407484 0.00873180873180873 0.00114345114345114 0.00301455301455301 0.0165280665280665 0.000311850311850312 0.00478170478170478 0.0025987525987526 0.00311850311850312 0 0.00051975051975052 0.00051975051975052 0.00166320166320166 0.000207900207900208 0 0 0 0 0 0.00051975051975052 0 0.000623700623700624 0 0.00135135135135135 0 0 0 0 0 0
"Z14061F" 0.121517671517672 0.0358627858627859 0.102494802494803 0.392931392931393 0.223284823284823 0.0150727650727651 0.0606029106029106 0.00218295218295218 0.00166320166320166 0.011018711018711 0.0243243243243243 0.000207900207900208 0.00322245322245322 0.000727650727650728 0 0.000311850311850312 0.00103950103950104 0.00051975051975052 0.000727650727650728 0 0 0 0 0 0 0.00051975051975052 0.000103950103950104 0 0 0.00166320166320166 0 0 0 0 0 0
"Z14063F" 0.21029106029106 0.0436590436590437 0.11954261954262 0.351663201663202 0.165800415800416 0.022972972972973 0.0411642411642412 0.00239085239085239 0.00218295218295218 0.00550935550935551 0.024012474012474 0.000207900207900208 0.00488565488565489 0.00166320166320166 0.000207900207900208 0.00051975051975052 0.00051975051975052 0.000207900207900208 0.000103950103950104 0.000207900207900208 0 0 0 0 0 0 0.000103950103950104 0.000103950103950104 0 0.00197505197505198 0.000103950103950104 0 0 0 0 0
"Z15065F" 0.0902286902286902 0.00103950103950104 0.292931392931393 0.202598752598753 0.0501039501039501 0.0513513513513514 0.105717255717256 0.00197505197505198 0.0025987525987526 0.0344074844074844 0.157068607068607 0 0.00343035343035343 0.00051975051975052 0.000207900207900208 0.000415800415800416 0.000207900207900208 0 0 0 0 0 0 0 0.000103950103950104 0.00114345114345114 0 0.000103950103950104 0 0.00384615384615385 0 0 0 0 0 0
"Z15067F" 0.0683991683991684 0.00155925155925156 0.339501039501039 0.19948024948025 0.0475051975051975 0.0485446985446985 0.0875259875259875 0.00218295218295218 0.00207900207900208 0.037006237006237 0.154054054054054 0 0.00395010395010395 0.000415800415800416 0.000623700623700624 0.00114345114345114 0.000311850311850312 0 0 0 0 0 0 0 0.000207900207900208 0.000623700623700624 0.000311850311850312 0 0 0.00436590436590437 0 0 0.000207900207900208 0 0 0
"Z15069F" 0.203014553014553 0.123180873180873 0.151351351351351 0.241476091476092 0.0977130977130977 0.00498960498960499 0.0420997920997921 0.000207900207900208 0.00561330561330561 0.043970893970894 0.0772349272349272 0 0.00301455301455301 0.000207900207900208 0.00311850311850312 0.000415800415800416 0.000103950103950104 0 0 0 0 0 0 0 0 0.000831600831600832 0.000311850311850312 0 0 0.00114345114345114 0 0 0 0 0 0
"Z15071F" 0.249480249480249 0.0637214137214137 0.138669438669439 0.207068607068607 0.164241164241164 0.0133056133056133 0.0967775467775468 0.00051975051975052 0.0132016632016632 0.0276507276507277 0.0139293139293139 0.000103950103950104 0.00343035343035343 0.000207900207900208 0.000935550935550936 0.000207900207900208 0.000623700623700624 0.000727650727650728 0 0.000311850311850312 0 0 0 0 0.000103950103950104 0.00176715176715177 0.000623700623700624 0.000103950103950104 0 0.00228690228690229 0 0 0 0 0 0
