,samples,Total.cells,HNA.cells,LNA.cells,Total.count.sd,HNA.sd,LNA.sd,Platform,Lake,Sample_16S,Season,Month,Year,Fraction,Site,Depth,Total_Sequences,D0,D1,D2
M45D2F115,M45D2-115-2,1647885.545,372830.1987,1275055.346,26333.106340000002,1400.859444,26651.92494,Accuri,Michigan,M45D2F115,Winter,Januari,2015,Free,MM45,Deep,22716,191,34.912878534987094,14.377404875404391
M45D2F415,M45D2-415-2,1126724.256,300912.0984,825812.1574,11035.975359999999,5850.115758,6035.314184000001,Accuri,Michigan,M45D2F415,Spring,April,2015,Free,MM45,Deep,7263,151,34.178928641273764,15.766536876156055
M45D2F515,M45D2-515,1694259.7240000002,610479.7691,1083779.955,25720.93409,10802.24964,16903.77507,Accuri,Michigan,M45D2F515,Spring,May,2015,Free,MM45,Deep,15696,196,44.52647523794158,21.304283268224232
M45D2F715,M45D2-715-2,657163.5451,108776.5115,548387.0336,20690.36921,3846.9496710000003,16978.59339,Accuri,Michigan,M45D2F715,Summer,July,2015,Free,MM45,Deep,16753,197,39.81903392863285,17.689903852189765
M45D2F815,M45D2-815,774089.043,205706.14899999998,568382.894,8983.157154999999,4125.5735079999995,5423.820044,Accuri,Michigan,M45D2F815,Summer,August,2015,Free,MM45,Deep,12041,203,49.23611932294203,22.52904215725806
M45D2F915,M45D2-915-2,1141301.726,262718.9641,878582.7622,10790.67235,8500.398517,3349.1007059999997,Accuri,Michigan,M45D2F915,Fall,September,2015,Free,MM45,Deep,18637,181,37.02734339742321,17.505878078878045
M45S2F415,M45S2-415-2,1232528.393,302713.4601,929814.933,5780.176205,1449.254176,5296.1353899999995,Accuri,Michigan,M45S2F415,Spring,April,2015,Free,MM45,Surface,19879,178,42.12554307025289,18.56395125465528
M45S2F515,M45S2-515-DMSO,2169417.914,939862.3429,1229555.571,6953.540136,7142.2777719999995,6831.590983,Accuri,Michigan,M45S2F515,Spring,May,2015,Free,MM45,Surface,12393,192,38.68359679084949,17.60273904146014
M45S2F715,M45S2-715-2,1079869.3590000002,266334.0178,813535.3415,38446.99785,9673.745116,28898.02637,Accuri,Michigan,M45S2F715,Summer,July,2015,Free,MM45,Surface,16886,188,41.180203655937675,15.513773759498207
M45S2F815,M45S2-815,1906475.879,531427.2257,1375048.6530000002,111100.0044,38254.06618,73432.04047,Accuri,Michigan,M45S2F815,Summer,August,2015,Free,MM45,Surface,16641,217,48.34147423651251,20.726899075874382
M45S2F915,M45S2-915-2,1254145.438,270705.2929,983440.1456,32116.208619999998,748.9428889999999,31389.15116,Accuri,Michigan,M45S2F915,Fall,September,2015,Free,MM45,Surface,11235,208,43.23360603477249,17.547546303376443
Sp13.BD.MM110.SD.1,MM110-S-D_April,1233601.825,332729.8451,900871.98,214950.6786,56130.15509,158912.6691,Accuri,Michigan,Sp13.BD.MM110.SD.1,Spring,April,2013,Free,MM110,Surface,35804,168,38.47470442634197,20.296216033700514
Sp13.BD.MM110.SN.1,MM110-S-N_April,1758473.265,408481.7023,1349991.562,64090.28468,22058.93255,44732.69263,Accuri,Michigan,Sp13.BD.MM110.SN.1,Spring,April,2013,Free,MM110,Surface,35958,167,32.17823772687028,15.690196763182398
Sp13.BD.MM15.DD.1,MM15-D-D_April,3019947.42,1329590.729,1690356.6909999999,35081.793880000005,25818.55921,25525.35229,Accuri,Michigan,Sp13.BD.MM15.DD.1,Spring,April,2013,Free,MM15,Deep,35392,245,64.54082970947178,36.244321426549554
Sp13.BD.MM15.SD.1,MM15-S-D_April,2713212.175,1072190.979,1641021.197,50109.03403,37492.64308,23424.43841,Accuri,Michigan,Sp13.BD.MM15.SD.1,Spring,April,2013,Free,MM15,Surface,33508,220,53.30549620941871,27.29588851718605
Sp13.BD.MM15.SN.1,MM15-S-N_April,2757128.082,1168979.21,1588148.872,24022.567919999998,2626.909072,24470.4298,Accuri,Michigan,Sp13.BD.MM15.SN.1,Spring,April,2013,Free,MM15,Surface,35586,232,59.01240986950187,32.444718417859754
Su13.BD.MM110.DCMD.1,MM110-DCMD_July,1895526.594,742792.257,1152734.337,51736.376,28967.355819999997,22885.76472,Accuri,Michigan,Su13.BD.MM110.DCMD.1,Summer,July,2013,Free,MM110,Deep,35263,203,45.13797441728155,23.28931352370238
Su13.BD.MM110.DN.1,MM110-D-N_July,470724.2112,131128.2349,339595.9763,3351.0464230000002,3548.679604,1563.658299,Accuri,Michigan,Su13.BD.MM110.DN.1,Summer,July,2013,Free,MM110,Deep,38444,230,49.04777406460524,19.04787462139955
Su13.BD.MM110.SD.1,MM110-S-D_July,1573259.812,238393.36800000002,1334866.4440000001,220296.0805,36120.031610000005,185026.1146,Accuri,Michigan,Su13.BD.MM110.SD.1,Summer,July,2013,Free,MM110,Surface,32175,170,22.96954216051532,9.635886774129432
Su13.BD.MM110.SN.1,MM110-S-N_July,1699761.618,251029.9334,1448731.685,33261.5452,10431.17575,30313.128660000002,Accuri,Michigan,Su13.BD.MM110.SN.1,Summer,July,2013,Free,MM110,Surface,34265,161,22.853335739227727,9.805957476423997
Su13.BD.MM15.DN.1,MM15-D-N_July,2491911.735,617480.1365,1874431.5990000002,29053.96917,9262.751690000001,20829.123519999997,Accuri,Michigan,Su13.BD.MM15.DN.1,Summer,July,2013,Free,MM15,Deep,31706,199,40.75957720690784,22.205903212282667
Su13.BD.MM15.SD.1,MM15-S-D_July,2781922.711,565478.2961,2216444.415,36366.33124,7002.639501000001,36366.498680000004,Accuri,Michigan,Su13.BD.MM15.SD.1,Summer,July,2013,Free,MM15,Surface,32334,220,33.67979593013388,14.293486530958138
Su13.BD.MM15.SN.1,MM15-S-N_July,2963172.8419999997,632722.9215,2330449.92,37604.70173,16918.46804,27240.06031,Accuri,Michigan,Su13.BD.MM15.SN.1,Summer,July,2013,Free,MM15,Surface,35065,212,33.094508887865345,13.369790933241182
