,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,4.0837422699224996e-09,2.579006579438859e-14,4.7806453286726006e-17,0.4737855113740449,0.5199283714143178,0.4575574661320898,0.4611882657731858,0.5919343814080656,0.6520847573479153
1,1.196871503149262e-10,8.586294583557044e-15,8.354033607957908e-16,0.5082568823446769,0.4771375403086463,0.4402005000271786,0.5049424595111988,0.6028708133971291,0.6254272043745728
2,6.29470105175277e-11,1.1836825714375295e-11,4.18260417818716e-11,0.5324573699287263,0.41878344276445856,0.3543571930162949,0.5125355792030964,0.5269993164730006,0.5126452494873547
3,2.0764628327899042e-14,2.1126724992480444e-15,8.354033607957908e-16,0.5618864121041178,0.4557632460924109,0.34511970103715883,0.5995113138557431,0.6165413533834586,0.6254272043745728
4,3.090177533351419e-11,2.1945504074183e-13,5.55170662695342e-17,0.4961645801749109,0.4794112794126925,0.4400262691159325,0.5208189825033486,0.5700615174299384,0.6507177033492823
5,1.4121558219687992e-11,2.0549381564634004e-13,7.234510905042626e-16,0.5430418309623529,0.4854188963623794,0.4166382340621053,0.5297926694119549,0.5707450444292549,0.6267942583732057
6,1.176537738836341e-11,4.43710685221026e-14,8.354033607957908e-16,0.5665134667655423,0.516161115835866,0.4717292463572262,0.5318635202370179,0.5864661654135338,0.6254272043745728
7,1.7414382018372838e-10,4.0563522306816197e-16,4.43710685221026e-14,0.5827017276849655,0.5438754003864024,0.3849419846573542,0.5005411567149097,0.6322624743677374,0.5864661654135338
8,4.393173026526319e-12,2.4090603242564505e-14,3.2278609188426793e-15,0.5617065199035135,0.5541733130983164,0.4661641746485935,0.5429080579706874,0.592617908407382,0.6124401913875598
9,3.213063127127673e-09,3.2610789917247985e-16,4.0563522306816197e-16,0.5235694019637247,0.5623978336760284,0.5035503191391497,0.4642157266182928,0.6343130553656869,0.6322624743677374
