,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,2.0337854312819954e-08,2.686236234854651e-07,2.225305770471817e-08,0.6056182824901968,0.5203767816171709,0.4160625442997715,0.6126597630720229,0.5585365853658536,0.6073170731707317
1,6.6095502997806986e-09,8.971955192843084e-08,5.45873929693506e-07,0.5874763675054313,0.4834765213833244,0.3913710121558077,0.6339185930146845,0.5804878048780487,0.5439024390243903
2,1.0558183464812809e-08,7.777254917748774e-09,1.7407384152830194e-09,0.6210170326804803,0.533378858769041,0.4464838700761562,0.6249375138349892,0.6268292682926829,0.6536585365853659
3,7.273165562365503e-08,3.720084062742088e-08,2.1125003485485964e-07,0.6178350541455262,0.5471959620326201,0.4295130235948012,0.5881042615460901,0.5975609756097561,0.5634146341463415
4,1.4329807903890408e-07,2.53221274797143e-08,1.5058395646552033e-08,0.6246131111849713,0.5813709334655544,0.4385438169142182,0.5749494215714579,0.6048780487804878,0.6146341463414634
5,4.130542108224697e-09,4.224844913692209e-08,1.0144896583711498e-08,0.632867982680764,0.5876100603896279,0.5426445589832205,0.6421263649031422,0.5951219512195122,0.6219512195121949
6,2.9962039231439355e-08,1.5058395646552033e-08,4.224844913692209e-08,0.5745988900788708,0.5577906172689531,0.46010562493701,0.6052931126142429,0.6146341463414634,0.5951219512195122
7,2.389983174680548e-09,3.700017251612935e-06,1.4678524364764778e-07,0.6080309258974933,0.4778754219526722,0.4869365571772856,0.6519485655135153,0.5024390243902439,0.5707317073170731
8,1.8126074981317438e-09,3.720084062742088e-08,7.923307495853763e-08,0.6168570298488815,0.5772250341390435,0.4798911888121829,0.6568596658187018,0.5975609756097561,0.5829268292682928
9,2.389983174680548e-09,7.777254917748774e-09,4.85621603361439e-07,0.66479986940238,0.5993786675172058,0.5036511497631526,0.6519485655135153,0.6268292682926829,0.5463414634146341
