,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.003818049924558851,1.675882899619825e-05,3.1876045172921433e-06,0.2955035332207205,0.27761468428274805,0.3539974961583616,0.3408575988554935,0.5015873015873016,0.5428571428571429
1,0.0005028190190928072,1.1549236970298755e-05,6.213752104642586e-05,0.31004380630630624,0.24866650528514656,0.2310701189029608,0.40966828880509787,0.5111111111111112,0.4666666666666667
2,0.0016227221134494825,8.022036861490286e-08,1.9590530594700888e-07,0.4117654769030252,0.5677245839289362,0.4638198061223631,0.3711112733881475,0.6253968253968255,0.6063492063492064
3,0.00029954714973378684,0.0007301992795486001,2.1403888385379158e-05,0.3538142736486486,0.20839150269282106,0.3560752291007443,0.42573371189549386,0.3936507936507937,0.4952380952380953
4,0.00045397597513434845,1.675882899619825e-05,4.6618704897917253e-07,0.364915262024506,0.2908670530211077,0.3696775698533493,0.4128813734231771,0.5015873015873016,0.5873015873015873
5,0.0005565263056258653,0.0001368183316273928,1.0810507627276314e-06,0.3335366318987255,0.2618628954836373,0.3221321849268891,0.4064552041870185,0.4444444444444445,0.5682539682539683
6,0.0017810566741444825,0.00015271738635832838,4.7254772654333166e-06,0.2801123580167033,0.3398275106712497,0.4137235966395054,0.3678981887700683,0.4412698412698413,0.5333333333333333
7,0.0005565263056258653,2.725883469403675e-05,2.1364317542611214e-06,0.3670662005602803,0.22037011313124288,0.2796366789206174,0.4064552041870185,0.4888888888888889,0.5523809523809524
8,0.0009147256049380392,1.4813440086803073e-05,1.0186808536110021e-05,0.3138371410472971,0.3106357692579325,0.3228203137566066,0.3903897810966227,0.5047619047619047,0.5142857142857143
9,0.00011279203546527452,5.5354895468880116e-05,0.0001368183316273928,0.31819575960038937,0.2860873623085587,0.32640918199731994,0.4546514734582067,0.4698412698412699,0.4444444444444445
