,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,6.540236681640242e-11,6.5097379051644e-10,5.645245521431774e-10,0.8038191757120632,0.7215506404512195,0.5710357461162237,0.7133373193283472,0.6707317073170732,0.6731707317073171,0
1,2.475455374251721e-10,1.7160462590780478e-08,8.884719649528845e-09,0.7620753308900305,0.6792024557868028,0.5323528042859664,0.6912373679550078,0.6121951219512195,0.6243902439024389,1
2,1.204924392477228e-08,4.224844913692209e-08,2.2953885884469812e-09,0.6882677525529223,0.6128073002075431,0.6067132869567075,0.6224819636823961,0.5951219512195122,0.6487804878048781,2
3,4.730149967031082e-09,6.8044872304665905e-09,1.514786002861836e-09,0.7313153190418499,0.6780137357500877,0.629079362527194,0.6396708147505489,0.6292682926829268,0.6560975609756097,3
4,3.145061753020145e-09,2.225305770471817e-08,1.1487091031189597e-07,0.7274634646010152,0.6734153882805458,0.5734239486177789,0.6470374652083287,0.6073170731707317,0.5756097560975609,4
5,4.4155812715531896e-10,1.3175135473543085e-09,2.944754685244639e-11,0.7610456037192181,0.7302948112419995,0.6242295031277156,0.6814151673446347,0.6585365853658536,0.7219512195121951,5
6,4.39457080051128e-08,1.3207331329037089e-08,6.8044872304665905e-09,0.7470631276568993,0.7084526541385292,0.6421075327496933,0.5979264621564632,0.6170731707317073,0.6292682926829268,6
7,2.0818834723561208e-09,2.686236234854651e-07,3.0208104674202394e-09,0.7532364718314282,0.7334349384974562,0.6320710349053444,0.6544041156661087,0.5585365853658536,0.6439024390243903,7
8,3.309411515118896e-10,5.441113768365464e-08,3.177005245765831e-10,0.7519854551728289,0.670518473263104,0.6695375016470277,0.6863262676498213,0.5902439024390244,0.6829268292682926,8
9,8.821767480551345e-11,3.026909267255953e-07,2.53221274797143e-08,0.7619282322025209,0.6813106297473642,0.5860440076799533,0.7084262190231606,0.5560975609756097,0.6048780487804878,9
