,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,7.597697572115455e-11,1.3175135473543085e-09,8.643355827999577e-10,0.7615467986772251,0.6933798602057847,0.5737485247034542,0.7108817691757541,0.6585365853658536,0.6658536585365854
1,1.275423389220964e-10,6.170308961226761e-08,1.999409787917983e-09,0.7440818007771546,0.6991310720954697,0.583640830008991,0.7027159596984486,0.5878048780487805,0.6512195121951221
2,3.605165072611981e-09,2.1125003485485964e-07,1.0144896583711498e-08,0.7202593118840677,0.683801517766151,0.5325651142076295,0.6445819150557354,0.5634146341463415,0.6219512195121949
3,2.0337854312819954e-08,1.0144896583711498e-08,7.923307495853763e-08,0.7260013212172117,0.6760878844894667,0.4282344514214327,0.6126597630720229,0.6219512195121949,0.5829268292682928
4,1.192779539018453e-09,3.720084062742088e-08,8.971955192843084e-08,0.6914577627166778,0.7118898474530401,0.5950053326292242,0.6642263162764818,0.5975609756097561,0.5804878048780487
5,2.4628309002747167e-10,1.145367612570894e-09,6.5097379051644e-10,0.7646145925343449,0.6653862670196322,0.5533362954484478,0.6920818855185318,0.6609756097560975,0.6707317073170732
6,2.315300718717539e-08,1.4678524364764778e-07,6.170308961226761e-08,0.7593272745549466,0.7132141874936153,0.5118848048081701,0.6102042129194296,0.5707317073170731,0.5878048780487805
7,3.605165072611981e-09,2.686236234854651e-07,4.7957415995111466e-08,0.7624398092512727,0.7074315842890859,0.6313408237777115,0.6445819150557354,0.5585365853658536,0.5926829268292683
8,2.6344874758569675e-08,4.543818955007392e-09,5.9504649116680075e-09,0.6924222325044411,0.7202635257146459,0.5919565232433859,0.6077486627668363,0.6365853658536585,0.6317073170731707
9,7.597697572115455e-11,1.5058395646552033e-08,1.0144896583711498e-08,0.7756957768302042,0.6648385294989216,0.5545396566808038,0.7108817691757541,0.6146341463414634,0.6219512195121949
