,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,3.8697373557772336e-08,5.45873929693506e-07,1.2988306722468775e-07,0.6105377296020398,0.5449831455615408,0.3942437303079628,0.6003820123090565,0.5439024390243903,0.573170731707317,0
1,2.9962039231439355e-08,3.409120338552217e-07,2.686236234854651e-07,0.5621790105479316,0.44972328875613177,0.40429170768678596,0.6052931126142429,0.5536585365853659,0.5585365853658536,1
2,4.130542108224697e-09,2.225305770471817e-08,3.0208104674202394e-09,0.6176622066714783,0.5774895056727944,0.4089825582471033,0.6421263649031422,0.6073170731707317,0.6439024390243903,2
3,6.41714080524927e-08,8.971955192843084e-08,7.923307495853763e-08,0.6329913182927105,0.5407452140980931,0.4148051251421001,0.5905598116986834,0.5804878048780487,0.5829268292682928,3
4,6.41714080524927e-08,1.1487091031189597e-07,3.026909267255953e-07,0.5604570470173678,0.5573155677001794,0.4030865083162466,0.5905598116986834,0.5756097560975609,0.5560975609756097,4
5,5.414130999562379e-09,1.0144896583711498e-08,3.967670247057905e-09,0.6658450276470365,0.5788365527088953,0.5512579404725306,0.6372152645979556,0.6219512195121949,0.6390243902439023,5
6,9.329274172379887e-08,1.0899538245962262e-06,3.2740226465662014e-08,0.5838397004763056,0.5300786134354339,0.4221817135931508,0.5831931612409035,0.5292682926829267,0.6,6
7,7.273165562365503e-08,4.591624171413527e-06,4.318088887441164e-07,0.5657756066483435,0.5067897500630645,0.4385357866322295,0.5881042615460901,0.4975609756097561,0.548780487804878,7
8,2.315300718717539e-08,1.954636364780428e-08,5.441113768365464e-08,0.5820053015750729,0.5968639961701645,0.4294111484038388,0.6102042129194296,0.6097560975609756,0.5902439024390244,8
9,1.3744110740678272e-08,6.170308961226761e-08,4.7957415995111466e-08,0.5790792704913891,0.6029014511536909,0.4610727201757993,0.6200264135298027,0.5878048780487805,0.5926829268292683,9
