,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,4.6860357965420865e-11,4.2753761858476275e-15,3.70280283182488e-13,0.5951664010784424,0.5382750758019033,0.4509353777577264,0.5159869972448681,0.609706083390294,0.5645933014354066
1,1.4121558219687992e-11,4.0563522306816197e-16,1.7953235536579478e-17,0.6533644433305614,0.6713103086401095,0.5000044621402153,0.5297926694119549,0.6322624743677374,0.6609706083390293
2,5.128414628558097e-12,1.4808779646967787e-15,8.678617812217377e-17,0.6208289535755094,0.5662475002678358,0.5328206438250751,0.5412748508475713,0.619958988380041,0.6466165413533834
3,1.3719872131510304e-12,1.0360442632115052e-15,8.12219482058859e-14,0.6293982647637216,0.5867192355081166,0.4418321218660962,0.555773284352417,0.6233766233766234,0.5803144224196856
4,1.5098928710278254e-12,4.689784162129953e-16,2.6205950591042632e-17,0.6207535030573559,0.55324006425324,0.4844350337709048,0.5546428793127111,0.6308954203691046,0.6575529733424471
5,2.0764628327899042e-14,1.6641473045192622e-17,2.845516863342785e-18,0.6618142337664882,0.6313951234079109,0.5696629383962206,0.5995113138557431,0.6616541353383458,0.6773752563226247
6,6.163027118504249e-13,1.6875184334392642e-16,1.6875184334392642e-16,0.6267432392194153,0.5611344832217329,0.5783566792298611,0.5643068498296718,0.6404647983595352,0.6404647983595352
7,9.4847960522603e-11,1.5678065551605511e-16,2.8258677729729866e-17,0.6190990546823215,0.5711443734214535,0.5075172035353945,0.5077035939446161,0.6411483253588517,0.6568694463431305
8,9.184767720549014e-14,1.456475807426494e-16,1.456475807426494e-16,0.6882091901843758,0.64253909847542,0.5369304200958117,0.5843250744719476,0.6418318523581682,0.6418318523581682
9,6.573635046131038e-13,3.031821223318605e-16,2.1036059416363744e-19,0.6209748729189761,0.5870271057249848,0.5269219013511142,0.5636165662213175,0.6349965823650034,0.6999316473000683
