"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu001700" "Bacteria" "Aminicenantes" "Aminicenantes_unclassified" NA NA NA NA
"Otu001754" "Bacteria" "Firmicutes" "Bacilli" NA NA NA NA
"Otu001784" "Bacteria" "Candidate_division_OP3" "Candidate_division_OP3_unclassified" NA NA NA NA
"Otu001821" "Bacteria" "Firmicutes" "Clostridia" NA NA NA NA
"Otu001949" "Bacteria" "Lentisphaerae" "MSBL3" NA NA NA NA
"Otu002006" "Bacteria" "Firmicutes" "Erysipelotrichia" NA NA NA NA
"Otu002044" "Bacteria" "Lentisphaerae" "Oligosphaeria" NA NA NA NA
"Otu002251" "Bacteria" "Tenericutes" "Mollicutes" NA NA NA NA
"Otu002674" "Bacteria" "Hydrogenedentes" "Hydrogenedentes_unclassified" NA NA NA NA
"Otu002845" "Bacteria" "Actinobacteria" "Coriobacteriia" NA NA NA NA
"Otu003047" "Bacteria" "Lentisphaerae" "BS5" NA NA NA NA
"Otu003170" "Bacteria" "Actinobacteria" "OPB41" NA NA NA NA
"Otu003388" "Bacteria" "Lentisphaerae" "WCHB1-25" NA NA NA NA
"Otu004327" "Bacteria" "Bacteroidetes" "Bacteroidetes_VC2.1_Bac22" NA NA NA NA
"Otu005522" "Bacteria" "Elusimicrobia" "Elusimicrobia" NA NA NA NA
"Otu005973" "Bacteria" "PAUC34f" "PAUC34f_unclassified" NA NA NA NA
"Otu007916" "Bacteria" "Thermotogae" "Thermotogae" NA NA NA NA
"Otu008727" "Bacteria" "Nitrospirae" "Nitrospira" NA NA NA NA
"Otu009766" "Bacteria" "Verrucomicrobia" "B29" NA NA NA NA
