"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000509" "Bacteria" "Acidobacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"Otu000547" "Bacteria" "Proteobacteria" "Betaproteobacteria" "undefined" NA NA NA
"Otu000646" "Bacteria" "Armatimonadetes" "Armatimonadetes_unclassified" "Armatimonadetes_unclassified" NA NA NA
"Otu000666" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfuromonadales" NA NA NA
"Otu000674" "Bacteria" "Cyanobacteria" "Cyanobacteria_unclassified" "Cyanobacteria_unclassified" NA NA NA
"Otu000745" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" NA NA NA
"Otu000755" "Bacteria" "Verrucomicrobia" "Opitutae" "[Cerasicoccales]" NA NA NA
"Otu000775" "Bacteria" "Acidobacteria" "Acidobacteria" "Subgroup_3" NA NA NA
"Otu000779" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" NA NA NA
"Otu000908" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" NA NA NA
"Otu000977" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Cellvibrionales" NA NA NA
"Otu001006" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" NA NA NA
"Otu001028" "Bacteria" "TM6" "TM6_unclassified" "TM6_unclassified" NA NA NA
"Otu001118" "Bacteria" "Cyanobacteria" "ML635J-21" "ML635J-21_unclassified" NA NA NA
"Otu001219" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" NA NA NA
"Otu001345" "Bacteria" "Candidate_division_OP3" "Candidate_division_OP3_unclassified" "Candidate_division_OP3_unclassified" NA NA NA
"Otu001451" "Bacteria" "Proteobacteria" "JTB23" "JTB23_unclassified" NA NA NA
"Otu001549" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Oligoflexales" NA NA NA
"Otu001663" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinobacteria_unclassified" NA NA NA
"Otu001677" "Bacteria" "Actinobacteria" "Thermoleophilia" "Thermoleophilia_unclassified" NA NA NA
"Otu002142" "Bacteria" "Parcubacteria" "Parcubacteria_unclassified" "Parcubacteria_unclassified" NA NA NA
"Otu002392" "Bacteria" "Planctomycetes" "vadinHA49" "vadinHA49_unclassified" NA NA NA
"Otu002522" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA NA
"Otu003066" "Bacteria" "Actinobacteria" "Actinobacteria" "PeM15" NA NA NA
"Otu003078" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" NA NA NA
"Otu003218" "Bacteria" "Actinobacteria" "Actinobacteria_unclassified" "Actinobacteria_unclassified" NA NA NA
"Otu003936" "Bacteria" "Chlamydiae" "Chlamydiae" "Chlamydiales" NA NA NA
"Otu004969" "Bacteria" "WCHB1-60" "WCHB1-60_unclassified" "WCHB1-60_unclassified" NA NA NA
"Otu005236" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "SAR11_clade" NA NA NA
"Otu007520" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" NA NA NA
