,$R^2$,$\kappa$,$P-value$,OTU
0,0.396229778519387,0.4952118283694134,2.7687812772428216e-12,0
1,0.4289892287501009,0.5146743019734513,3.7674506882140503e-13,0
2,0.4835610176552445,0.5107818072526438,5.647692614891777e-13,0
3,0.4439973375078583,0.4753168553519522,1.9703069832620735e-11,0
4,0.4754880672338343,0.4986718236767978,1.952730603337742e-12,0
5,0.4937735466204083,0.5678717298244887,1.1063516408750136e-15,0
6,0.4109663214701679,0.5345692749909126,4.5422262655076514e-14,0
7,0.4617185111676131,0.5259192867224511,1.1504705622668598e-13,0
8,0.4203767017785365,0.4917518330620288,3.916682400576853e-12,0
9,0.4649455680955389,0.4947793289559902,2.891831299075032e-12,0
0,0.3824919722581012,0.3356756445186451,3.7358479168022233e-06,1
1,0.4205282540799144,0.4385034457666984,1.5173143403094645e-09,1
2,0.34508707105335623,0.36309639151812606,5.632336539393697e-07,1
3,0.33411445994849986,0.30825489751916424,2.159689418986497e-05,1
4,0.4327707703683039,0.3448158935184721,2.0190029602557847e-06,1
5,0.43292535369186735,0.3914311634175896,6.895821956300488e-08,1
6,0.36429025151675604,0.36309639151812606,5.632336539393697e-07,1
7,0.3458132767490435,0.3580692545682212,8.050374645879535e-07,1
8,0.43674220053688495,0.3973723252674771,4.3570455940534666e-08,1
9,0.41466608912724745,0.3900601260676155,7.659465774894422e-08,1
0,0.405776978139538,0.4993578484281911,6.633650159940969e-12,2
1,0.4166434457481836,0.5145317057008709,1.5058705478996291e-12,2
2,0.29873091663962914,0.470389575453075,9.992304070642987e-11,2
3,0.5339529057784026,0.5844234119265478,9.37000228427537e-16,2
4,0.34304031790641903,0.5568345805216753,1.9249972979886346e-14,2
5,0.34082881359361195,0.5278663075465593,3.949629699731475e-13,2
6,0.3371560238819813,0.5186700304116018,9.975625269904822e-13,2
7,0.2676312201148716,0.5646514160863892,8.29373093048042e-15,2
8,0.4124388072816705,0.5076344978496528,2.970290501548708e-12,2
9,0.4566503453072047,0.5540756973811881,2.5841317551215046e-14,2
0,0.4974137299558147,0.5944996990257914,1.0208440891980519e-16,3
1,0.27156556261728104,0.5201872366475675,3.742998925993399e-13,3
2,0.3154361108324272,0.5741522390888968,1.073250107517554e-15,3
3,0.4573790993572532,0.5759215834312355,8.774584000880207e-16,3
4,0.44025120337253176,0.5515930987240789,1.3276875583312486e-14,3
5,0.4884839983073801,0.5737099030033121,1.1285705181866277e-15,3
6,0.1996381903075657,0.5201872366475675,3.742998925993399e-13,3
7,0.5386709245885732,0.6175011754761941,6.490592831060977e-18,3
8,0.5436431399920976,0.579017936030328,6.159101008777009e-16,3
9,0.2847195376725494,0.5215142449043215,3.262942609644189e-13,3
0,0.5080043506811822,0.5107082736921067,2.7693653736104966e-12,4
1,0.4914766364461208,0.4636662895216527,2.2214290198052972e-10,4
2,0.4366154890254047,0.4520222340339166,6.176921967914164e-10,4
3,0.5284609473601745,0.4948723582287856,1.2679871632475925e-11,4
4,0.4663682056250778,0.4846255893995778,3.311232540814673e-11,4
5,0.4479487805463398,0.4548168073509733,4.843528229359623e-10,4
6,0.4202589973494134,0.4599401917655771,3.0897995261973904e-10,4
7,0.5293892516152472,0.5041876026189744,5.210400718432627e-12,4
8,0.4978316921612681,0.4958038826678045,1.1609191975640796e-11,4
9,0.3750928537297433,0.37377418115632977,3.1367912568773606e-07,4
