"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences"
"110D2F115" "110D2-115-2" 620420.9143 139880.6787 480540.2356 1640.27505 4639.951653 5795.307178 "Accuri" "Michigan" "110D2F115" "Winter" "Januari" 2015 "Free" "MM110" "Deep" 19654
"110D2F415" "110D2-415-2" 799313.9932 155198.0513 644115.9418 9388.845069 4198.74129 5493.441736 "Accuri" "Michigan" "110D2F415" "Spring" "April" 2015 "Free" "MM110" "Deep" 7951
"110D2F515" "110D2-515" 1261369.441 362443.5877 898925.8536 15341.77919 10504.6963 6299.495382 "Accuri" "Michigan" "110D2F515" "Spring" "May" 2015 "Free" "MM110" "Deep" 16293
"110D2F715" "110D2-715-2" 542723.614 131132.1467 411591.4673 6139.696176 2196.008338 3967.95762 "Accuri" "Michigan" "110D2F715" "Summer" "July" 2015 "Free" "MM110" "Deep" 16882
"110D2F815" "110D2-815" 548027.8659 131820.471 416207.3949 3552.009515 3805.294194 2441.935137 "Accuri" "Michigan" "110D2F815" "Summer" "August" 2015 "Free" "MM110" "Deep" 22157
"110D2F915" "110D2-915-2" 731930.9879 189746.2226 542184.7653 36726.39626 6634.229916 30473.92482 "Accuri" "Michigan" "110D2F915" "Fall" "September" 2015 "Free" "MM110" "Deep" 16500
"110M2F115" "110M2-115-2" 2035277.18 528665.9886 1506611.191 83282.13593 34802.29891 49873.64731 "Accuri" "Michigan" "110M2F115" "Winter" "Januari" 2015 "Free" "MM110" "Mid" 14054
"110M2F415" "110M2-415-2" 1154532.427 315339.578 839192.8486 4008.75293 736.81438 3796.158261 "Accuri" "Michigan" "110M2F415" "Spring" "April" 2015 "Free" "MM110" "Mid" 14115
"110M2F515" "110M2-515" 1236955.439 342905.0735 894050.3651 62597.48074 26641.18412 35957.72639 "Accuri" "Michigan" "110M2F515" "Spring" "May" 2015 "Free" "MM110" "Mid" 15055
"110M2F715" "110M2-715-2" 1049438.927 314131.9437 735306.9829 59046.88748 24331.20816 34772.05553 "Accuri" "Michigan" "110M2F715" "Summer" "July" 2015 "Free" "MM110" "Mid" 14681
"110S2F115" "110S2_115_2" 1965601.378 518719.064 1446882.314 285495.4159 78624.9528 206875.2716 "Accuri" "Michigan" "110S2F115" "Winter" "Januari" 2015 "Free" "MM110" "Surface" 14551
"110S2F415" "110S2-415-2" 1065379.07 286101.6554 779277.4148 36505.79779 15470.3792 21208.02657 "Accuri" "Michigan" "110S2F415" "Spring" "April" 2015 "Free" "MM110" "Surface" 15627
"110S2F515" "110S2-515" 976666.7207 258329.6474 718337.0733 5745.927355 4337.808723 8414.492405 "Accuri" "Michigan" "110S2F515" "Spring" "May" 2015 "Free" "MM110" "Surface" 13708
