"Otu000001" "Otu000009" "Otu000012" "Otu000022" "Otu000023" "Otu000030" "Otu000075" "Otu000077" "Otu000082" "Otu000093" "Otu000136" "Otu000227" "Otu000267" "Otu000387" "Otu000775" "Otu001006" "Otu001028" "Otu001345" "Otu002142" "Otu002522" "Otu003936" "Otu004969"
"M15S2F515" 0.314237573715249 0.270935130581297 0.0930075821398483 0.250547598989048 0.00404380791912384 0.00572872788542544 0.00707666385846672 0.013647851727043 0 0.0306655433866891 0.00876158382476832 0 0.00016849199663016 0 0.00016849199663016 0 0.00033698399326032 0.00050547598989048 0.00016849199663016 0 0 0
"M15S2F715" 0.479865206402696 0.184161752316765 0.058972198820556 0.164616680707666 0.00219039595619208 0.0160067396798652 0.0240943555181129 0.0456613310867734 0.00016849199663016 0.0225779275484414 0.0016849199663016 0 0 0 0 0 0 0 0 0 0 0
"M15S2F815" 0.454928390901432 0.163100252737995 0.0962089300758214 0.162931760741365 0.00286436394271272 0.0384161752316765 0.00791912384161752 0.0202190395956192 0.00101095197978096 0.0311710193765796 0.0203875315922494 0 0 0 0 0 0.0008424599831508 0 0 0 0 0
"M15S2F915" 0.380623420387532 0.109182813816344 0.222577927548441 0.154844144903117 0.00016849199663016 0.067396798652064 0.00151642796967144 0.0195450716090986 0 0.0192080876158382 0.0249368155012637 0 0 0 0 0 0 0 0 0 0 0
"M45D2F115" 0.53681550126369 0.0957034540859309 0.128727885425442 0.135973041280539 0.00219039595619208 0.0205560235888795 0.046335299073294 0.0185341196293176 0 0.00825610783487784 0.00556023588879528 0 0.00016849199663016 0.00016849199663016 0 0.00016849199663016 0 0 0.00033698399326032 0.00016849199663016 0 0.00033698399326032
"M45D2F415" 0.435888795282224 0.146588037068239 0.0722830665543387 0.268576242628475 0 0.00185341196293176 0.0414490311710194 0.0203875315922494 0 0.0112889637742207 0.00050547598989048 0.00033698399326032 0 0 0.00050547598989048 0 0 0 0 0.00033698399326032 0 0
"M45D2F515" 0.407582139848357 0.205391743892165 0.0510530749789385 0.264532434709351 0.00016849199663016 0.00151642796967144 0.0320134793597304 0.0213984835720303 0.00067396798652064 0.0128053917438922 0.00219039595619208 0 0 0 0 0 0 0 0 0.00016849199663016 0 0.00050547598989048
"M45D2F715" 0.388205560235889 0.137994945240101 0.0830665543386689 0.17910699241786 0.00117944397641112 0.00235888795282224 0.0549283909014322 0.0899747262005055 0 0.0611625947767481 0.00117944397641112 0 0 0 0 0 0 0 0.0008424599831508 0 0 0
"M45D2F815" 0.352316764953665 0.196630160067397 0.111878685762426 0.206571187868576 0.00235888795282224 0.0104465037910699 0.047346251053075 0.0377422072451559 0 0.0316764953664701 0.00134793597304128 0.00033698399326032 0 0 0 0 0.00016849199663016 0 0.00067396798652064 0.00033698399326032 0 0.00016849199663016
"M45D2F915" 0.374389216512216 0.139848357203033 0.114237573715249 0.192586352148273 0.00151642796967144 0.00657118786857624 0.0837405223251896 0.0707666385846672 0 0.0133108677337826 0.00235888795282224 0 0 0 0.00016849199663016 0 0.00016849199663016 0 0.00033698399326032 0 0 0
"M45S2F415" 0.406065711878686 0.188879528222409 0.0591406908171862 0.265206402695872 0 0.00050547598989048 0.0328559393428812 0.0279696714406066 0 0.0144903117101938 0.00202190395956192 0.00067396798652064 0 0 0.00016849199663016 0 0 0 0.00033698399326032 0.0016849199663016 0 0
"M45S2F515" 0.43150800336984 0.312889637742207 0.058972198820556 0.146419545071609 0.00303285593934288 0.00286436394271272 0.0122999157540017 0.0111204717775906 0 0.0156697556866049 0.00522325189553496 0 0 0 0 0 0 0 0 0 0 0
"M45S2F715" 0.388711036225779 0.159393428812131 0.0990732940185341 0.175568660488627 0.00370682392586352 0.0451558550968829 0.0117944397641112 0.0491996630160067 0 0.0621735467565291 0.00454928390901432 0 0 0 0 0.00033698399326032 0 0 0 0.00033698399326032 0 0
"M45S2F815" 0.337657961246841 0.194439764111205 0.117775905644482 0.167481044650379 0.00117944397641112 0.0705981465880371 0.00202190395956192 0.0434709351305813 0.00016849199663016 0.0311710193765796 0.0308340353833193 0 0 0.00016849199663016 0 0 0.00286436394271272 0 0 0.00016849199663016 0 0
"M45S2F915" 0.301095197978096 0.115080033698399 0.211962931760741 0.159730412805392 0 0.0876158382476832 0.00185341196293176 0.0522325189553496 0 0.0385846672283067 0.0310025273799495 0 0 0 0 0.00033698399326032 0.00016849199663016 0 0 0 0.00033698399326032 0
"Sp13.BD.MM110.SD.1" 0.262173546756529 0.1681550126369 0.0310025273799495 0.450210614995788 0 0.00353833192923336 0.0534119629317607 0.0119629317607414 0.00050547598989048 0.0141533277169334 0.00067396798652064 0.00387531592249368 0 0 0 0 0 0.00016849199663016 0.00016849199663016 0 0 0
"Sp13.BD.MM110.SN.1" 0.326874473462511 0.136310025273799 0.0249368155012637 0.429317607413648 0 0.00219039595619208 0.0608256107834878 0.0033698399326032 0.00151642796967144 0.0107834877843302 0.00050547598989048 0.00269587194608256 0 0 0.00016849199663016 0 0 0 0.00050547598989048 0 0 0
"Sp13.BD.MM15.DD.1" 0.260657118786858 0.194945240101095 0.0660488626790227 0.45273799494524 0.00016849199663016 0.0008424599831508 0.012636899747262 0.00219039595619208 0 0.00370682392586352 0.00101095197978096 0.00269587194608256 0.00050547598989048 0 0 0.00016849199663016 0.00016849199663016 0.00050547598989048 0.00067396798652064 0.00016849199663016 0.00016849199663016 0
"Sp13.BD.MM15.SD.1" 0.290480202190396 0.226116259477675 0.0579612468407751 0.396293176074136 0 0 0.0153327716933446 0.00387531592249368 0 0.00471777590564448 0.00101095197978096 0.00286436394271272 0.00033698399326032 0 0 0 0.00033698399326032 0 0.00067396798652064 0 0 0
"Sp13.BD.MM15.SN.1" 0.276663858466723 0.164448188711036 0.088458298230834 0.442796967144061 0 0.00033698399326032 0.0121314237573715 0.00522325189553496 0 0.004212299915754 0.00117944397641112 0.00269587194608256 0 0.00016849199663016 0 0 0.00016849199663016 0.00016849199663016 0.00101095197978096 0.00016849199663016 0.00016849199663016 0
"Su13.BD.MM110.DCMD.1" 0.229654591406908 0.380960404380792 0.0941870261162595 0.175063184498736 0.00067396798652064 0.0822240943555181 0.00690817186183656 0.00320134793597304 0.0008424599831508 0.00488626790227464 0.0180286436394271 0.00269587194608256 0 0.00016849199663016 0.00016849199663016 0 0 0 0.00016849199663016 0 0.00016849199663016 0
"Su13.BD.MM110.DN.1" 0.296040438079191 0.22055602358888 0.0566133108677338 0.262173546756529 0.00387531592249368 0.00219039595619208 0.0867733782645324 0.00067396798652064 0.0075821398483572 0.0075821398483572 0.0485256950294861 0.00370682392586352 0 0 0.00269587194608256 0.00016849199663016 0.00016849199663016 0 0.00067396798652064 0 0 0
"Su13.BD.MM110.SD.1" 0.327548441449031 0.103959561920809 0.0239258635214827 0.486267902274642 0.00016849199663016 0.0264532434709351 0.00134793597304128 0.00977253580454928 0 0.0131423757371525 0.00741364785172704 0 0 0 0 0 0 0 0 0 0 0
"Su13.BD.MM110.SN.1" 0.366133108677338 0.108845829823083 0.0281381634372367 0.456107834877843 0.00016849199663016 0.0170176916596462 0.00117944397641112 0.00943555181128896 0 0.00556023588879528 0.00707666385846672 0 0 0.00033698399326032 0 0 0 0 0 0 0 0
"Su13.BD.MM15.DN.1" 0.286604886267902 0.361920808761584 0.0156697556866049 0.305812973883741 0.00016849199663016 0.0128053917438922 0.0075821398483572 0.00454928390901432 0.00033698399326032 0.00269587194608256 0.00050547598989048 0.00016849199663016 0 0.00101095197978096 0 0 0 0 0.00016849199663016 0 0 0
"Su13.BD.MM15.SD.1" 0.383319292333614 0.152485256950295 0.0208930075821398 0.391069924178601 0.00033698399326032 0.0185341196293176 0.00101095197978096 0.0129738837405223 0.00016849199663016 0.0148272957034541 0.00404380791912384 0 0 0.00033698399326032 0 0 0 0 0 0 0 0
"Su13.BD.MM15.SN.1" 0.437405223251896 0.166301600673968 0.0249368155012637 0.331423757371525 0.00050547598989048 0.0156697556866049 0.00151642796967144 0.00741364785172704 0.0008424599831508 0.0092670598146588 0.00404380791912384 0.00033698399326032 0 0.00033698399326032 0 0 0 0 0 0 0 0
