"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences"
"Z14032F" "Z14-32-1" 5863306.715 2249222.002 3614084.713 54615.07059 65084.84518 32727.82515 "Accuri" "Inland" "Z14032F" "Summer" "June" 2015 "Free" "Halfmoon" "Surface" 23894
"Z14033F" "Z14-33-1" 5036317.322 1581203.388 3455113.933 116654.2111 29206.46137 87953.719 "Accuri" "Inland" "Z14033F" "Summer" "June" 2015 "Free" "Cedar" "Surface" 27927
"Z14034F" "Z14-34-1" 5326690.822 1680237.057 3646453.765 191336.6595 56633.83574 144075.6652 "Accuri" "Inland" "Z14034F" "Summer" "June" 2015 "Free" "Cedar" "Surface" 29214
"Z14035F" "Z14-35-1" 3995835.899 967066.7392 3028769.16 54714.43985 26379.11458 32257.42406 "Accuri" "Inland" "Z14035F" "Summer" "June" 2015 "Free" "Cedar" "Deep" 24937
"Z14036F" "Z14-36-1" 5413642.265 1752827.195 3660815.07 42482.94107 15313.27981 32499.71729 "Accuri" "Inland" "Z14036F" "Summer" "June" 2015 "Free" "Cedar" "Surface" 25625
"Z14037F" "Z14-37-1" 5036198.528 1125569.644 3910628.884 268234.155 44552.07933 225977.7801 "Accuri" "Inland" "Z14037F" "Summer" "June" 2015 "Free" "Sand" "Surface" 35518
"Z14038F" "Z14-38-1" 5457855.997 1229437.904 4228418.094 63589.59693 12969.8363 56360.18271 "Accuri" "Inland" "Z14038F" "Summer" "June" 2015 "Free" "Sand" "Surface" 34502
"Z14039F" "Z14-39-1" 5129808.706 1062987.774 4066820.932 114921.5337 34928.8883 82251.34958 "Accuri" "Inland" "Z14039F" "Summer" "June" 2015 "Free" "Sand" "Deep" 33835
"Z14040F" "Z14-40-1" 5793042.643 1309377.303 4483665.34 66421.19456 27001.17687 52700.0173 "Accuri" "Inland" "Z14040F" "Summer" "June" 2015 "Free" "Sand" "Surface" 20622
"Z14041F" "Z14-41-1" 6866121.758 2134153.988 4731967.77 104145.7616 50024.31095 60422.70801 "Accuri" "Inland" "Z14041F" "Summer" "June" 2015 "Free" "Whitmore" "Surface" 32904
