"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences"
"Fa13.BD.MLB.DN.1" "MLB-D-N_September" 4233418.108 1249638.754 2983779.354 66407.80988 48252.78049 20408.98544 "Accuri" "Muskegon" "Fa13.BD.MLB.DN.1" "Fall" "September" 2013 "Free" "MLB" "Deep" 33653
"Fa13.BD.MLB.SN.1" "MLB-S-N_September" 4454994.418 1343668.598 3111325.821 59835.40169 12331.47506 68470.67566 "Accuri" "Muskegon" "Fa13.BD.MLB.SN.1" "Fall" "September" 2013 "Free" "MLB" "Surface" 32816
"MBRE1F714" "MBRE1-714" 10104066.02 2724102.309 7379963.708 55102.70702 57003.28631 57715.92212 "Accuri" "Muskegon" "MBRE1F714" "Summer" "July" 2014 "Free" "MBR" "Surface" 33038
"MBRE1F914" "MBRE1-914" 7206482.849 1928396.847 5278086.001 65178.67628 42404.03364 54019.70631 "Accuri" "Muskegon" "MBRE1F914" "Fall" "September" 2014 "Free" "MBR" "Surface" 24538
"MBRE1F715" "MBRE1-715" 7420898.66 1343201.649 6077697.011 70408.32397 44613.63427 31710.76589 "Accuri" "Muskegon" "MBRE1F715" "Summer" "July" 2015 "Free" "MBR" "Surface" 17500
"MBRE2F515" "MBRE2-515" 4326955.645 1739096.624 2587859.02 96174.94375 70451.46776 31361.59022 "Accuri" "Muskegon" "MBRE2F515" "Spring" "May" 2015 "Free" "MBR" "Surface" 27722
"MBRE2F915" "MBRE2-915" 4895227.607 1264623.909 3630603.698 22853.2975 16800.30478 14092.63546 "Accuri" "Muskegon" "MBRE2F915" "Fall" "September" 2015 "Free" "MBR" "Surface" 21845
"MBRH1F714" "MBRH1-714" 2684665.697 789217.8887 1895447.808 32638.65877 17560.30872 15815.54391 "Accuri" "Muskegon" "MBRH1F714" "Summer" "July" 2014 "Free" "MBR" "Deep" 33604
"MBRH1F914" "MBRH1-914" 3475184.587 988450.6973 2486733.889 18520.798 10742.89791 8163.31964 "Accuri" "Muskegon" "MBRH1F914" "Fall" "September" 2014 "Free" "MBR" "Deep" 26556
"MBRH1F715" "MRBH1-715" 2309541.701 604995.6189 1704546.082 41215.00266 15906.78581 27678.13169 "Accuri" "Muskegon" "MBRH1F715" "Summer" "July" 2015 "Free" "MBR" "Deep" 17040
"MBRH2F515" "MBRH2-515" 4833399.69 1293993.211 3539406.478 91211.46532 32424.67127 81882.52541 "Accuri" "Muskegon" "MBRH2F515" "Spring" "May" 2015 "Free" "MBR" "Deep" 25679
"MBRH2F915" "MBRH2-915" 2827504.35 847478.3695 1980025.981 109831.8865 46397.03628 63681.18052 "Accuri" "Muskegon" "MBRH2F915" "Fall" "September" 2015 "Free" "MBR" "Deep" 19308
"MDPE1F514" "MUSDEPE1-epi-deep-514" 4412737.842 2396947.528 2015790.314 112621.9378 114096.596 100625.0727 "Accuri" "Muskegon" "MDPE1F514" "Spring" "May" 2014 "Free" "MDP" "Surface" 104975
"MDPE1F714" "MDPE1-714" 9365634.053 3007825.81 6357808.244 100351.8524 44800.45981 58132.29242 "Accuri" "Muskegon" "MDPE1F714" "Summer" "July" 2014 "Free" "MDP" "Surface" 24115
"MDPE1F914" "MDPE1-914" 7360864.378 2059672.048 5301192.331 149891.638 75024.02954 75897.16088 "Accuri" "Muskegon" "MDPE1F914" "Fall" "September" 2014 "Free" "MDP" "Surface" 26370
"MDPE1F715" "MDPE1-715" 7539904.733 1721378.751 5818525.982 50031.73127 54282.79075 43616.52186 "Accuri" "Muskegon" "MDPE1F715" "Summer" "July" 2015 "Free" "MDP" "Surface" 18289
"MDPE2F515" "MDPE2-515" 6095630.674 2155514.548 3940116.126 104792.0411 50626.9332 62122.79334 "Accuri" "Muskegon" "MDPE2F515" "Spring" "May" 2015 "Free" "MDP" "Surface" 8215
"MDPE2F915" "MDPE2-915" 5522877.426 1349635.455 4173241.971 60797.46975 33711.0419 30624.77363 "Accuri" "Muskegon" "MDPE2F915" "Fall" "September" 2015 "Free" "MDP" "Surface" 21349
