,$R^2$,$\kappa$,$P-value$
0,-0.07679527677037967,-0.23570226039551587,0.09206802466546742
1,-0.09800044119088391,-0.23570226039551587,0.09206802466546742
2,-0.09835673045532656,-0.23570226039551587,0.09206802466546742
3,-0.08747014721425161,-0.23570226039551587,0.09206802466546742
4,-0.09498426773699054,-0.23570226039551587,0.09206802466546742
5,-0.09048523962061084,-0.23570226039551587,0.09206802466546742
6,-0.09691374608336245,-0.23570226039551587,0.09206802466546742
7,-0.11396697830274904,-0.23570226039551587,0.09206802466546742
8,-0.09496814633958106,-0.23570226039551587,0.09206802466546742
9,-0.09871829298194035,-0.23570226039551587,0.09206802466546742
