,$R^2$,$\kappa$,$P-value$
0,-0.049860718029924644,-0.1217982986886332,0.34841225915236995
1,-0.06525974817638347,-0.1217982986886332,0.34841225915236995
2,-0.08223751638858157,-0.24752557475431908,0.05670284890675761
3,-0.08205704168387862,-0.0982244344263171,0.44953633356940836
4,-0.10434354619853559,-0.1768039819673708,0.17346981145727014
5,-0.07095339490122687,-0.23966762000021372,0.06502308888472472
6,-0.06300920397570464,-0.1768039819673708,0.17346981145727014
7,-0.07289904534340419,-0.13751420819684393,0.2897530303866914
8,-0.08489725159249928,-0.10608238918042247,0.4141094285378889
9,-0.05057406692294997,-0.051076705901684887,0.6941585555424366
