,$R^2$,$\kappa$,$P-value$
0,-0.12280976467257587,-0.12444223215775958,0.36222552339810044
1,-0.2006682775377968,-0.05301432387390569,0.6985268550067354
2,-0.10307700787155061,-0.006222111607887979,0.9636636384054518
3,-0.11546624472749056,-0.14310856698142352,0.2947296270628651
4,-0.11135691774553091,-0.14310856698142352,0.2947296270628651
5,-0.09495591005232074,-0.13688645537353553,0.31622487562380375
6,-0.16046997524994477,-0.0871095625104317,0.5236085643722508
7,-0.10743915506251711,-0.0871095625104317,0.5236085643722508
8,-0.13749984816407435,-0.012444223215775959,0.9274025983128951
9,-0.13219536548127775,-0.16177490180508747,0.23622613502757195
