,$R^2$,$\kappa$,$P-value$
0,0.5834671139379548,0.590269370817466,1.7007626844572953e-06
1,0.4192422250740019,0.590269370817466,1.7007626844572953e-06
2,0.3710285526749699,0.590269370817466,1.7007626844572953e-06
3,0.41479790581675136,0.590269370817466,1.7007626844572953e-06
4,0.3967610236647322,0.590269370817466,1.7007626844572953e-06
5,0.4695348943887222,0.590269370817466,1.7007626844572953e-06
6,0.5024763407419459,0.590269370817466,1.7007626844572953e-06
7,0.44657333616939565,0.590269370817466,1.7007626844572953e-06
8,0.395104304162497,0.590269370817466,1.7007626844572953e-06
9,0.4693293496099338,0.590269370817466,1.7007626844572953e-06
