,$R^2$,$\kappa$,$P-value$
0,0.28385397246093613,0.5412512125196971,1.4461288002425542e-05
1,0.39672571007371016,0.5166488846778927,3.478914924403903e-05
2,0.2930806044226044,0.48853193857297345,9.065618893531132e-05
3,0.35099124815724825,0.5271927394672374,2.3990244232791135e-05
4,0.37079578132678126,0.471708185594848,0.00016056333354813108
5,0.34571867004908796,0.5236781212041225,2.717484891562448e-05
6,0.3553261523341523,0.4955611750992033,7.167691550173114e-05
7,0.4167348771498772,0.5271927394672374,2.3990244232791135e-05
8,0.4673250712530712,0.506105029888548,5.010609302974139e-05
9,0.2449433636363637,0.4674442289942839,0.00018013200143333636
