,$R^2$,$\kappa$,$P-value$
0,0.5304585006965593,0.5707317073170731,1.467852436476478e-07
1,0.4219002510157258,0.5024390243902439,3.700017251612935e-06
2,0.3852372669483576,0.48048780487804876,9.627104757826182e-06
3,0.4410675864713959,0.5,4.12278342050776e-06
4,0.4765014971426229,0.5121951219512195,2.3886130269358743e-06
5,0.4823740257124278,0.5780487804878048,1.0154415533681855e-07
6,0.4302098826597138,0.5365853658536586,7.730428271552875e-07
7,0.4069705942648778,0.5097560975609756,2.6667176772298677e-06
8,0.45718512044580595,0.526829268292683,1.2210107984802141e-06
9,0.36925661843577673,0.47317073170731705,1.3126118581217985e-05
