"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu003007" "Bacteria" "Chloroflexi" "Caldilineae" NA NA NA NA
"Otu003297" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_Incertae_Sedis" NA NA NA NA
"Otu003366" "Bacteria" "Firmicutes" "Negativicutes" NA NA NA NA
"Otu003707" "Bacteria" "Chloroflexi" "Anaerolineae" NA NA NA NA
"Otu003766" "Bacteria" "Chloroflexi" "Thermomicrobia" NA NA NA NA
"Otu004400" "Bacteria" "Lentisphaerae" "Lentisphaerae_unclassified" NA NA NA NA
"Otu004590" "Bacteria" "Actinobacteria" "Actinobacteria_unclassified" NA NA NA NA
"Otu004647" "Bacteria" "Elusimicrobia" "Elusimicrobia" NA NA NA NA
"Otu004798" "Bacteria" "Tenericutes" "Mollicutes" NA NA NA NA
"Otu005431" "Bacteria" "Microgenomates" "Microgenomates_unclassified" NA NA NA NA
"Otu005904" "Bacteria" "Chloroflexi" "JG30-KF-CM66" NA NA NA NA
"Otu008988" "Bacteria" "SM2F11" "SM2F11_unclassified" NA NA NA NA
