,$R^2$,$\kappa$,$P-value$
0,-0.013908903824248808,0.22181060605851785,0.0
1,-0.013908903824248808,0.22181060605851785,0.0
2,-0.013908903824248808,0.22181060605851785,0.0
3,-0.013908903824248808,0.22181060605851785,0.0
4,-0.013908903824248808,0.22181060605851785,0.0
5,-0.013908903824248808,0.22181060605851785,0.0
6,-0.013908903824248808,0.22181060605851785,0.0
7,-0.013908903824248808,0.22181060605851785,0.0
8,-0.013908903824248808,0.22181060605851785,0.0
9,-0.013908903824248808,0.22181060605851785,0.0
