,samples,Total.cells,HNA.cells,LNA.cells,Total.count.sd,HNA.sd,LNA.sd,Platform,Lake,Sample_16S,Season,Month,Year,Fraction,Site,Depth,Total_Sequences,D0,D1,D2
MINH1F914,MINH1-914,8404619.652,2792948.857,5611670.795,301131.3053,155796.909,147726.69199999998,Accuri,Muskegon,MINH1F914,Fall,September,2014,Free,MIN,Deep,26266,365,74.24429802952466,32.386015385206434
MINH1F715,MINH1-715,8121097.624,2786736.502,5334361.121,347454.2191,116983.2246,232479.2132,Accuri,Muskegon,MINH1F715,Summer,July,2015,Free,MIN,Deep,23123,362,66.72756827177328,28.709100354735725
MINH2F515,MINH2-515,6695260.868,2505861.798,4189399.0689999997,94853.47212,23780.71705,74863.19197,Accuri,Muskegon,MINH2F515,Spring,May,2015,Free,MIN,Deep,13174,344,70.3589210531786,30.50441458947174
MINH2F915,MINH2-915,6566333.665,2267897.202,4298436.463,69186.06138,31992.356519999998,39836.855039999995,Accuri,Muskegon,MINH2F915,Fall,September,2015,Free,MIN,Deep,21537,357,74.59542085650874,35.35054470735616
MLBD2F115,MLBD2-115-2,6482022.853999999,1890290.7480000001,4591732.107,89239.77051,22338.85241,69395.64857,Accuri,Muskegon,MLBD2F115,Winter,Januari,2015,Free,MLB,Deep,13795,294,60.39148272794841,28.12726085570559
MLBD2F415,MLBD2-415-2,1797394.8909999998,653692.3324,1143702.558,29844.39935,9185.359312999999,20664.06311,Accuri,Muskegon,MLBD2F415,Spring,April,2015,Free,MLB,Deep,4761,238,64.64469083340138,30.385818265633436
MLBD2F515,MLBD2-515-DMSO,6467748.792,3173102.145,3294646.647,32456.26965,20687.661119999997,31336.91747,Accuri,Muskegon,MLBD2F515,Spring,May,2015,Free,MLB,Deep,13829,265,62.00018395987767,27.478464177278504
MLBD2F715,MLBD2-715-2,5956478.687000001,1821746.7659999998,4134731.92,106517.6617,53331.0452,57960.032810000004,Accuri,Muskegon,MLBD2F715,Summer,July,2015,Free,MLB,Deep,15481,333,71.97434336494456,26.535005032071208
MLBD2F815,MLBD2-815,6064997.413,1512762.531,4552234.883,58618.183560000005,19066.87647,39589.09653,Accuri,Muskegon,MLBD2F815,Summer,August,2015,Free,MLB,Deep,9001,342,85.40273416538439,34.720685157976966
MLBD2F915,MLB-915-2,8170354.897999999,2090056.767,6080298.131,179693.2682,62610.17547,130084.6144,Accuri,Muskegon,MLBD2F915,Fall,September,2015,Free,MLB,Deep,24069,401,112.85060242486962,48.52946759628715
MLBS2F115,MLBS2-115-2,6389492.958,1830444.7780000002,4559048.18,59495.73606,25931.34924,49635.76262,Accuri,Muskegon,MLBS2F115,Winter,Januari,2015,Free,MLB,Surface,11424,292,60.40469307182652,28.7713040094234
MLBS2F515,MLBS2-515-DMSO,1216693.415,321517.2723,895176.1424,49536.33707,12213.42978,37805.314210000004,Accuri,Muskegon,MLBS2F515,Spring,May,2015,Free,MLB,Surface,9656,219,43.5141683083118,19.579491162081283
MLBS2F715,MLBS2-715-2,10142174.19,3445974.731,6696199.461,159412.9541,92213.7058,72231.88882000001,Accuri,Muskegon,MLBS2F715,Summer,July,2015,Free,MLB,Surface,5490,198,32.80731369017707,12.394502479615756
MLBS2F815,MLBS2-815,7529908.63,1993119.5080000001,5536789.122,204830.9089,81780.53718,125863.6094,Accuri,Muskegon,MLBS2F815,Summer,August,2015,Free,MLB,Surface,11795,317,65.50164908089059,25.79576681157579
MLBS2F915,MLBS2-915-2,9430611.393,2727215.881,6703395.512999999,335532.6351,151842.8875,186942.0122,Accuri,Muskegon,MLBS2F915,Fall,September,2015,Free,MLB,Surface,24533,363,96.87450134912865,42.41977653891068
MOTE1F514,MUSOUTE1-epi-outlet-514,4581945.151000001,2396938.7630000003,2185006.3880000003,81917.60544,63998.62508,41870.87066,Accuri,Muskegon,MOTE1F514,Spring,May,2014,Free,MOT,Surface,41021,320,82.55263325360391,35.02252394990036
MOTE1F714,MOTE1-714,10680409.05,3336428.292,7343980.757999999,88648.11552,34678.9324,53973.159929999994,Accuri,Muskegon,MOTE1F714,Summer,July,2014,Free,MOT,Surface,19631,295,78.73894119218755,38.9736135351728
MOTE1F914,MOTE1-914,7020677.316000001,1981122.045,5039555.271000001,264490.42,107837.3466,157405.0115,Accuri,Muskegon,MOTE1F914,Fall,September,2014,Free,MOT,Surface,26863,331,79.29082138101921,35.91693227810821
MOTE1F715,MOTE1-715,7446699.551,1692623.59,5754075.961,129623.6689,22077.827869999997,121118.6596,Accuri,Muskegon,MOTE1F715,Summer,July,2015,Free,MOT,Surface,22117,241,44.7945938166746,18.70918442372041
MOTE2F515,MOTE2-515,6112362.087,2251853.71,3860508.377,51243.08533,37624.019089999994,15307.446740000001,Accuri,Muskegon,MOTE2F515,Spring,May,2015,Free,MOT,Surface,16615,256,62.018706055488934,31.46449768800693
MOTE2F915,MOTE2-915,5694244.407000001,1401867.3769999999,4292377.03,37342.01837,21237.27162,31341.135830000003,Accuri,Muskegon,MOTE2F915,Fall,September,2015,Free,MOT,Surface,20799,338,76.54867418012462,32.039219475628286
MOTH1F714,MOTH1-714,4961204.52,1256146.4,3705058.12,135695.8361,40864.0981,96817.8741,Accuri,Muskegon,MOTH1F714,Summer,July,2014,Free,MOT,Deep,30110,324,56.294877310872316,17.707308942141694
MOTH1F914,MOTH1-914,7050809.616,1979421.196,5071388.42,39531.722069999996,25550.83738,14298.714,Accuri,Muskegon,MOTH1F914,Fall,September,2014,Free,MOT,Deep,25154,329,81.27726672208982,36.77410920138914
MOTH1F715,MOTH1-715,3892023.742,776630.043,3115393.6989999996,49202.28605,14569.09978,34678.39291,Accuri,Muskegon,MOTH1F715,Summer,July,2015,Free,MOT,Deep,17107,270,53.86706518234609,20.804274996101793
MOTH1F915,MOTH-915,5739777.743,1423389.477,4316388.267,85495.8437,36257.16463,64443.2639,Accuri,Muskegon,MOTH1F915,Fall,September,2015,Free,MOT,Deep,23304,266,58.08907190464575,21.889900731807383
MOTH2F514,MUSOUTH-hypo-outlet-514,2495231.206,1090246.4,1404984.8059999999,24546.7082,18706.108,8511.54267,Accuri,Muskegon,MOTH2F514,Spring,May,2014,Free,MOT,Deep,31614,288,82.13155687071719,42.69237402212205
MOTH2F515,MOTH2-515,4166163.566,1406325.993,2759837.5730000003,78433.77157000001,27878.6762,58133.285939999994,Accuri,Muskegon,MOTH2F515,Spring,May,2015,Free,MOT,Deep,22547,256,59.054385034855585,28.314611917046935
Sp13.BD.MLB.SN.1,Muskegon_April,3676467.6960000005,1882609.241,1793858.455,37197.23022,17203.51665,20139.01762,Accuri,Muskegon,Sp13.BD.MLB.SN.1,Spring,April,2013,Free,MLB,Surface,34970,346,62.87086329687999,29.48099550315296
Su13.BD.MLB.DD.1,MLB-D-D_July,7578896.999,1894802.0690000001,5684094.93,111101.8826,64951.66827,52537.74464,Accuri,Muskegon,Su13.BD.MLB.DD.1,Summer,July,2013,Free,MLB,Deep,34367,319,49.67733177865099,17.237572211535465
Su13.BD.MLB.SD.1,MLB40y-S-D_July,13328624.8,4082957.1319999998,9245667.665,277560.5158,132141.3781,150749.9014,Accuri,Muskegon,Su13.BD.MLB.SD.1,Summer,July,2013,Free,MLB,Surface,32968,267,61.948036626801176,30.28858445466126
